outer_fold,test_run,candidate,order,variant,capacity_regime,coefficient_budget,architecture,preprocessing,spatial_ranks,property_rank,property_weights,geometry,budget,channels,solver,storage_floats,fit_seconds,condition_number,selection_loss,relative_frobenius_p,anomaly_relative_frobenius_p,rmse_p,train_range_nrmse_p,ssim_p,anomaly_ssim_p,relative_frobenius_so,anomaly_relative_frobenius_so,rmse_so,train_range_nrmse_so,ssim_so,anomaly_ssim_so,pair_role,pair_3d_variant,pair_4d_variant,pair_inner_loss,iterations,model_label
1,1,3D-current-5e7711139fcb,3D,3D-current,equal_per_property,64,legacy-independent,raw_minmax,"[48, 48]",,"[1.0, 1.0]",full,9900,9900,projection,242016,12.91448549999768,1.0,0.1296094866311276,0.0008944179151052,0.1864189765411137,0.1427589642242797,0.0034480565402165,0.995566487240784,0.951460177919954,0.0008111868750644,0.2909872609312658,0.000218286413853,0.0003337707567801,0.9999780551562016,0.9664764039757844,,,,,,3D current
1,1,3D-independent-fa9b36e31dc0,3D,3D-independent,equal_per_property,64,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",full,9900,9900,projection,272608,0.8463302919990383,1.0,0.0780457894389775,6.212278904850614e-05,0.0129479369305107,0.009915482314824,0.0002394885941545,0.9999588011360488,0.9996215521821434,0.0007913837418727,0.2838835223693692,0.0002129574877321,0.0003256225643534,0.9999809054630274,0.9696750509057958,,,,,,3D optimized
1,1,4D-A-3bf6b15a532d,4D,4D-A,equal_per_property,64,joint,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",full,9900,9900,projection,504948,0.849900917004561,1.0,0.0838716609880895,0.000330511549135,0.0688868410216449,0.0527532886157851,0.0012741499128826,0.9994576163802305,0.9857387105194172,0.0006886300430209,0.2470239302105794,0.0001853069707896,0.0002833435521036,0.999983910207728,0.9751095440403156,,,,,,4D-A
1,1,4D-A-current-43ce2f360e5a,4D,4D-A-current,equal_per_property,64,legacy-joint,raw_minmax,"[48, 48]",2.0,"[1.0, 1.0]",full,9900,9900,projection,380500,16.838082582995412,1.0,1.5691671845744726,0.0019298418245828,0.4022271152547512,0.3080240403745819,0.007439703087849,0.9822451817582514,0.8724853480632169,0.0154501613404301,5.5422495945102686,0.0041575627221353,0.0063571196742563,0.9907407463695292,0.4631305948710428,,,,,,4D current
1,1,4D-B-643a4d560541,4D,4D-B,equal_per_property,64,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",full,9900,9900,projection,259184,0.8174890410009539,1.0,0.0793869651135299,4.341989310485787e-05,0.0090497874622507,0.0069302938388134,0.0001673873520054,0.9999832476079116,0.999818864885666,0.0008113863482905,0.2910588155501742,0.0002183400911209,0.0003338528319858,0.9999800300218428,0.9653026202309446,,,,,,4D optimized
1,1,4D-B-643a4d560541,4D,4D-B,equal_per_property,64,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",full,9900,9900,projection,259184,0.8174890410009539,1.0,0.0793869651135299,4.341989310485787e-05,0.0090497874622507,0.0069302938388134,0.0001673873520054,0.9999832476079116,0.999818864885666,0.0008113863482905,0.2910588155501742,0.0002183400911209,0.0003338528319858,0.9999800300218428,0.9653026202309446,,,,,,4D-B
1,1,4D-C-f8d668c31c07,4D,4D-C,equal_per_property,64,joint,standardized_anomaly,"[80, 48]",2.0,"[1.0, 2.0]",full,9900,9900,projection,504948,0.947404540995194,1.0,0.0987148923328185,0.0005670013612814,0.1181772096493225,0.0904996709963809,0.0021858380954367,0.9989381457607772,0.9682775272265274,0.0006910998554959,0.2479098961811736,0.0001859715852263,0.0002843597805514,0.9999838102477546,0.9741775457719166,,,,,,4D-C
1,1,4D-D-ff94f89c821d,4D,4D-D,equal_per_property,64,partial-spatial,standardized_anomaly,"[64, 48]",,"[1.0, 1.0]",full,9900,9900,projection,230208,1.2122012929976336,1.0,0.0813984605666687,6.684574191717818e-05,0.0139323179733771,0.0106693176844256,0.0002576959760203,0.9999728424639563,0.9994608459325056,0.0008184967826821,0.2936094557186081,0.0002202534741797,0.0003367784896128,0.9999801626354212,0.9644350169181152,,,,,,4D-D
1,1,4D-E-6ca320f290f9,4D,4D-E,equal_per_property,64,joint-property-residual,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",full,9900,9900,projection,408916,1.9605617500055816,1.0,0.0924491543765568,0.0002985888687856,0.062233359132843,0.047658076741146,0.0011510852862681,0.9996482630609488,0.9871137137857944,0.0007944400662718,0.2849798806719357,0.0002137799296541,0.0003268801188566,0.99998079363697,0.9677195308113082,,,,,,4D-E
1,1,3D-current-e419eaac8e1a,3D,3D-current,equal_total,32,legacy-independent,raw_minmax,"[48, 48]",,"[1.0, 1.0]",full,9900,9900,projection,129984,12.093545875002746,1.0,0.1492538932930703,0.0009093857000958,0.1895386358322674,0.1451479877958126,0.0035057586144457,0.9955124452850904,0.9465485759821476,0.0009788559781251,0.3511331712537925,0.0002634053480297,0.0004027598456541,0.9999753693788084,0.9407638918454098,,,,,,3D current
1,1,3D-independent-7db5f3bc9ad5,3D,3D-independent,equal_total,32,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",full,9900,9900,projection,149728,0.4602252920012688,1.0,0.1075068975032898,0.0002493058111344,0.0519615421074864,0.0397919571730138,0.0009610949401599,0.999757046166616,0.9926154278723144,0.000965198523541,0.3462339976812412,0.0002597301939128,0.0003971403526712,0.9999780788058624,0.9437204716788224,,,,,,3D optimized
1,1,4D-A-4ea76ef087a9,4D,4D-A,equal_total,32,joint,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",full,9900,9900,projection,259188,0.8339335000055144,1.0,0.1122016386132354,0.0005211197413477,0.1086143369858385,0.0831764584040911,0.0020089605787676,0.9991156390213932,0.970230025160246,0.000852112237723,0.3056679215148201,0.0002292992284399,0.00035060989667,0.999978781810652,0.9607213829351882,,,,,,4D-A
1,1,4D-A-current-205a30146a4e,4D,4D-A-current,equal_total,32,legacy-joint,raw_minmax,"[48, 48]",2.0,"[1.0, 1.0]",full,9900,9900,projection,194740,16.30574404199433,1.0,1.5732879072840609,0.0019310826088442,0.4024857256070501,0.3082220832279271,0.0074444864158832,0.9822246584006404,0.8722912293948307,0.015490694520866,5.556789572306304,0.0041684700024075,0.0063737974469431,0.9907334383844092,0.4599561081593912,,,,,,4D current
1,1,4D-B-2828b82824ed,4D,4D-B,equal_total,32,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",full,9900,9900,projection,136304,0.6514956250030082,1.0,0.0994446379132183,0.0001395189145223,0.0290792176835123,0.0222687575802404,0.0005378571891038,0.99990806887966,0.9968730479473898,0.0009528779607153,0.3418143911269747,0.0002564147908182,0.0003920709368501,0.9999779646171691,0.9493570663678376,,,,,,4D optimized
1,1,4D-B-2828b82824ed,4D,4D-B,equal_total,32,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",full,9900,9900,projection,136304,0.6514956250030082,1.0,0.0994446379132183,0.0001395189145223,0.0290792176835123,0.0222687575802404,0.0005378571891038,0.99990806887966,0.9968730479473898,0.0009528779607153,0.3418143911269747,0.0002564147908182,0.0003920709368501,0.9999779646171691,0.9493570663678376,,,,,,4D-B
1,1,4D-C-44adce3e7a5f,4D,4D-C,equal_total,32,joint,standardized_anomaly,"[80, 48]",2.0,"[1.0, 0.5]",full,9900,9900,projection,259188,1.2946521670019138,1.0,0.1136881453732246,0.0005324961996499,0.1109854743228037,0.0849922666256538,0.0020528177855508,0.9991848213981376,0.964090096857701,0.0008534763701273,0.3061572602406714,0.0002296663097866,0.0003511711822614,0.9999788318166736,0.960690209283452,,,,,,4D-C
1,1,4D-D-2ecf0e4138e3,4D,4D-D,equal_total,32,partial-spatial,standardized_anomaly,"[80, 48]",,"[1.0, 1.0]",full,9900,9900,projection,163152,1.3037149169977056,1.0,0.100512039068276,0.0001943637132531,0.040510240111989,0.0310225923678374,0.0007492885164138,0.999832601571727,0.9950523499963324,0.0009330261573005,0.3346931936842943,0.0002510727677787,0.0003839027185851,0.9999793918604052,0.9512582050500256,,,,,,4D-D
1,1,4D-E-4f4328240852,4D,4D-E,equal_total,32,joint-property-residual,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",full,9900,9900,projection,224596,1.2580843339965213,1.0,0.1115254021924712,0.0004719134111963,0.0983585118830034,0.0753225853912049,0.0018192660236462,0.9993734718302616,0.9719218128505838,0.0008717180256845,0.312700868808087,0.0002345750499262,0.0003586768894757,0.9999781741196428,0.9579937309918272,,,,,,4D-E
1,1,4D-A-4ea76ef087a9,4D,4D-A,equal_total,32,joint,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",wells,5,10,ridge(alpha_relative=1e-08),259188,0.8339335000055144,37686.84367831502,0.5448754526882869,0.004987634306119,1.0395472485573174,0.7960814463194557,0.0192277511429295,0.9959883136565392,0.8421954046104563,0.0027347149420954,0.9809912301218544,0.0007358983927999,0.0011252251532406,0.9999047993817568,0.8398779312415922,4D,3D-independent,4D-A,0.5086563497251213,0.0,4D-A
1,1,4D-B-2828b82824ed,4D,4D-B,equal_total,32,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",wells,5,10,ridge(alpha_relative=1e-06),136304,0.6514956250030082,14742644.486108202,0.4273863357683101,0.0037220213842122,0.7757619848517032,0.5940756649180287,0.0143487065273601,0.9969738266603442,0.8818660548285538,0.0022741141508297,0.8157654766571605,0.0006119529764798,0.0009357064622952,0.999942945358752,0.882098182042693,4D,3D-independent,4D-B,0.5121933470106719,0.0,4D-B
1,1,4D-C-44adce3e7a5f,4D,4D-C,equal_total,32,joint,standardized_anomaly,"[80, 48]",2.0,"[1.0, 0.5]",wells,5,10,ridge(alpha_relative=1e-06),259188,1.2946521670019138,51160.929907145095,0.4941494334666362,0.0042221018538286,0.879991213447943,0.6738940235013523,0.0162765589381565,0.9967779117220718,0.8601216511186655,0.0026697534477562,0.9576883786028813,0.0007184175729374,0.0010984961123825,0.9999082280436452,0.8620420652498935,4D,3D-independent,4D-C,0.5140120357521025,0.0,4D-C
1,1,4D-D-2ecf0e4138e3,4D,4D-D,equal_total,32,partial-spatial,standardized_anomaly,"[80, 48]",,"[1.0, 1.0]",wells,5,10,ridge(alpha_relative=1e-08),163152,1.3037149169977056,20410.69030208137,0.5006621666969849,0.0037850277570437,0.7888940826557028,0.6041321769500936,0.0145916014115612,0.9968909829993486,0.8766441168939013,0.0029883522004518,1.0719754574904117,0.0008041509363852,0.0012295866786444,0.999902885712971,0.8397976298224482,4D,3D-independent,4D-D,0.5278333167464722,0.0,4D-D
1,1,3D-independent-7db5f3bc9ad5,3D,3D-independent,equal_total,32,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",wells,5,10,ridge(alpha_relative=1e-06),149728,0.4602252920012688,12112451.616619278,0.9235383035487346,0.0040393465401279,0.8419004530079212,0.6447242597368068,0.0155720217816183,0.9962023264657052,0.8430521471659344,0.0073770797064323,2.646290618639346,0.0019851360066658,0.0030353714441543,0.9996601937433836,0.7450235677387238,3D,3D-independent,4D-E,0.5060169900169023,0.0,3D optimized
1,1,4D-E-4f4328240852,4D,4D-E,equal_total,32,joint-property-residual,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",wells,5,10,ridge(alpha_relative=1e-06),224596,1.2580843339965213,38679.87564581418,0.51381943397082,0.0046459916437567,0.9683404062247136,0.741551509262097,0.0179106898492315,0.9953920231140322,0.8533433722763797,0.0026191867364104,0.9395491935628854,0.0007048103186544,0.0010776899454774,0.9999072246991112,0.8518803555322589,4D,3D-independent,4D-E,0.5060169900169023,0.0,4D optimized
1,1,4D-E-4f4328240852,4D,4D-E,equal_total,32,joint-property-residual,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",wells,5,10,ridge(alpha_relative=1e-06),224596,1.2580843339965213,38679.87564581418,0.51381943397082,0.0046459916437567,0.9683404062247136,0.741551509262097,0.0179106898492315,0.9953920231140322,0.8533433722763797,0.0026191867364104,0.9395491935628854,0.0007048103186544,0.0010776899454774,0.9999072246991112,0.8518803555322589,4D,3D-independent,4D-E,0.5060169900169023,0.0,4D-E
1,1,3D-current-e419eaac8e1a,3D,3D-current,equal_total,32,legacy-independent,raw_minmax,"[48, 48]",,"[1.0, 1.0]",wells,5,10,ridge(alpha_relative=0.0001),129984,12.093545875002746,351654.56069579715,1.4144028748195854,0.0037386959688404,0.7792373837095934,0.5967371125368511,0.0144129884582244,0.9939596070224404,0.6937262826797809,0.0127834398267053,4.5856488249482545,0.0034399610277915,0.0052598710807222,0.9993146923476008,0.720823136079231,3D,3D-current,4D-A-current,1.5561881596896212,0.0,3D current
1,1,4D-A-current-205a30146a4e,4D,4D-A-current,equal_total,32,legacy-joint,raw_minmax,"[48, 48]",2.0,"[1.0, 1.0]",wells,5,10,ridge(alpha_relative=0.0001),194740,16.30574404199433,246533.14183863995,2.025852554738014,0.0038582740458805,0.8041604340668198,0.6158230925176633,0.0148739720360815,0.979631730928374,0.7034130235298588,0.0191637936816717,6.8743960287062675,0.0051568829910609,0.0078851299454297,0.9905125791834832,0.4468794641122036,4D,3D-current,4D-A-current,1.5561881596896212,0.0,4D current
1,1,4D-A-4ea76ef087a9,4D,4D-A,equal_total,32,joint,standardized_anomaly,"[80, 48]",2.0,"[1.0, 1.0]",wells,10,20,ridge(alpha_relative=1e-06),259188,0.8339335000055144,644465.3512686298,0.4139530558522749,0.0016312882307502,0.3400011083009623,0.2603715939050211,0.0062887537895019,0.9979417559236378,0.9460502379907458,0.0034030942732865,1.2207508672966174,0.0009157559962499,0.0014002363523186,0.9998056290656948,0.8638292663862146,4D,3D-independent,4D-A,0.3521942727164755,0.0,4D-A
1,1,3D-independent-7db5f3bc9ad5,3D,3D-independent,equal_total,32,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",wells,10,20,ridge(alpha_relative=1e-06),149728,0.4602252920012688,1169922942.538911,0.3813446851054,0.0016392910773989,0.3416691009210355,0.261648936497463,0.0063196054386708,0.9980623496481468,0.9116987450116756,0.0029560634569018,1.0603929068681828,0.0007954621936873,0.0012163011599785,0.9999033925219204,0.8416677897235607,3D,3D-independent,4D-B,0.3316280095595816,0.0,3D optimized
1,1,4D-B-2828b82824ed,4D,4D-B,equal_total,32,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",wells,10,20,ridge(alpha_relative=1e-06),136304,0.6514956250030082,2224997143.81981,0.3153868268843843,0.0015737685730331,0.3280125786197899,0.2511908221208849,0.0060670106550757,0.9982639426048064,0.9267818389395458,0.002347629799298,0.8421368564723059,0.0006317356773093,0.0009659551933567,0.9999390962094198,0.8904224161695712,4D,3D-independent,4D-B,0.3316280095595816,0.0,4D optimized
1,1,4D-B-2828b82824ed,4D,4D-B,equal_total,32,shared-independent,ensemble_anomaly,"[80, 48]",,"[1.0, 1.0]",wells,10,20,ridge(alpha_relative=1e-06),136304,0.6514956250030082,2224997143.81981,0.3153868268843843,0.0015737685730331,0.3280125786197899,0.2511908221208849,0.0060670106550757,0.9982639426048064,0.9267818389395458,0.002347629799298,0.8421368564723059,0.0006317356773093,0.0009659551933567,0.9999390962094198,0.8904224161695712,4D,3D-independent,4D-B,0.3316280095595816,0.0,4D-B
1,1,4D-C-44adce3e7a5f,4D,4D-C,equal_total,32,joint,standardized_anomaly,"[80, 48]",2.0,"[1.0, 0.5]",wells,10,20,ridge(alpha_relative=1e-06),259188,1.2946521670019138,2079869.337825077,0.385494529125952,0.0015648400995326,0.3261516623032252,0.2497657392736875,0.0060325906362816,0.9982452334324016,0.9485364777189468,0.0031451075072803,1.1282063936317646,0.0008463330214655,0.0012940851795419,0.9998170747584482,0.876223401143417,4D,3D-independent,4D-C,0.3518716579108227,0.0,4D-C
