outer_fold,test_run,capacity_regime,geometry,budget,role,candidate,variant,selected_4d_variant,solver,iterations,condition_number,relative_frobenius_p,anomaly_relative_frobenius_p,rmse_p,train_range_nrmse_p,ssim_p,anomaly_ssim_p,relative_frobenius_so,anomaly_relative_frobenius_so,rmse_so,train_range_nrmse_so,ssim_so,anomaly_ssim_so
6,6,equal_total,wells,5,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",200,85994699.07202885,0.002688086680705106,0.3354429296877324,0.4318984056092624,0.010431640004269755,0.9968027073180222,0.8766043319392984,0.01790570005374548,5.047891237587713,0.0048228446046009,0.007374368679648618,0.998900574542298,0.723520084244027
6,6,equal_total,wells,5,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,7217796.398425169,0.003541344615111242,0.4419199058027361,0.5689924748179223,0.013742872363851574,0.9959644063502493,0.9474175221273125,0.0035306173065405354,0.9953351229757416,0.0009509607877184214,0.0014540662251142594,0.9998958739138971,0.8300754120407755
6,6,equal_total,wells,10,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",5420,1560330948.66796,0.0023799618630506785,0.29699242424629785,0.3823915878310931,0.00923590208509331,0.9971254986280367,0.883404400765217,0.004228453217561279,1.1920657601439206,0.001138920719374888,0.0017414662860065478,0.9998338268797015,0.8585778694940107
6,6,equal_total,wells,10,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,5866137947.407047,0.002783415144656873,0.34733884787375763,0.4472149546943343,0.010801580536784126,0.9957505089604556,0.955421991557033,0.003546219124842246,0.9997335146420404,0.0009551630889405184,0.0014604917521746003,0.9998957028333865,0.8305289062000952
6,6,equal_total,wells,15,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1030,2686111933.1887474,0.0015324743767188976,0.19123553503234778,0.24622466406787358,0.0059470630647617,0.997968424901064,0.9268926003863984,0.003905900195806478,1.101133120409854,0.001052042066432053,0.0016086245152846562,0.9998524439909539,0.86801959997708
6,6,equal_total,wells,15,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",7960,37807397762.27856,0.0016711517249172918,0.2085409055380314,0.2685061351271684,0.006485227322460766,0.9971599204972927,0.968658254159626,0.0035171300978289674,0.9915328721578295,0.0009473280500108498,0.0014485115889257875,0.9998955791841536,0.8301055930316374
6,6,equal_total,wells,20,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",6900,333883.73386032577,0.0010925567116585077,0.13633876721289048,0.1755425169843228,0.004239877524068807,0.9987923118778131,0.9338530613757559,0.003679527703928062,1.0373152459478654,0.0009910693399924897,0.0015153941914753933,0.9998625934700972,0.8527941517400983
6,6,equal_total,wells,20,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",350,2454078.5644424655,0.0008012960696520754,0.09999272087492803,0.12874528838218888,0.0031095842985443185,0.9992624364305139,0.9778649303814442,0.003531250495297167,0.9955136285894146,0.000951131335140161,0.0014543270005835897,0.9998958817639908,0.8300904899677346
6,6,equal_total,wells,30,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",2460,31595.7579520231,0.0006784297725879869,0.08466039139950718,0.10900419960480831,0.0026327778812400833,0.9994136804384318,0.9576312669623648,0.0032840390841759604,0.9258209434508964,0.0008845457106327136,0.0013525142771518347,0.9998830470128667,0.835211906824124
6,6,equal_total,wells,30,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",450,214087.57163605472,0.0014735627546145055,0.18388402838146464,0.23675925663091232,0.005718445126853758,0.9996091272481077,0.9008476635433602,0.0033447022548681047,0.9429228208900367,0.0009008851469346957,0.0013774980859176205,0.9999015194131454,0.839434867259756
