outer_fold,test_run,capacity_regime,geometry,budget,role,candidate,variant,selected_4d_variant,solver,iterations,condition_number,relative_frobenius_p,anomaly_relative_frobenius_p,rmse_p,train_range_nrmse_p,ssim_p,anomaly_ssim_p,relative_frobenius_so,anomaly_relative_frobenius_so,rmse_so,train_range_nrmse_so,ssim_so,anomaly_ssim_so
9,9,equal_total,wells,5,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1990,68892356.3227408,0.005421933986284627,0.6286189009048416,0.8626994115807165,0.020836774520642923,0.9965238400558111,0.6652769004951905,0.03728863990442029,6.446947526084715,0.010022742096321478,0.015325269930695839,0.9966609514295127,0.6803917406173743
9,9,equal_total,wells,5,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",800,14153096.378337376,0.004162900223877634,0.4826465556257518,0.6623709515263616,0.01599824223907817,0.9969247782695858,0.9025855666251124,0.005604765758184785,0.9690251731259943,0.001506494252634854,0.002303504455047738,0.9997889330700296,0.8137988295578084
9,9,equal_total,wells,10,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,7517542011.531706,0.0023183257325635224,0.2687866317867392,0.3688754327135386,0.008909446458962208,0.9980233380476627,0.8284788452366093,0.005715402587887949,0.988153514555903,0.001536232114174235,0.0023489751207470913,0.9996687069963982,0.7687101440361617
9,9,equal_total,wells,10,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",6450,7366882158.45283,0.001822682083157281,0.21132171854390577,0.2900121551859771,0.0070046621160706765,0.9981792941222366,0.9683684694745229,0.005629078482687444,0.9732286747684935,0.0015130292232847264,0.0023134967493955317,0.9997872438169068,0.8128540618505674
9,9,equal_total,wells,15,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",2050,23554099877.103424,0.0019458214998912214,0.2255984996705599,0.30960521969533655,0.007477893303978745,0.9986750690696165,0.8352344292068659,0.007243848779250826,1.2524112728817145,0.001947060238326842,0.0029771517052838608,0.9995141519608842,0.8003799176184897
9,9,equal_total,wells,15,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",5650,22761887203.460686,0.001742351790720751,0.2020082262976789,0.27723057278523133,0.006695948621050008,0.9980449234994848,0.9747667305269746,0.005415231518229555,0.9362560160175617,0.0014555497073158793,0.002225607717707125,0.9997979270813315,0.8148109059666023
9,9,equal_total,wells,20,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",5760,743116.4969763134,0.0016079524449991445,0.18642596926475252,0.2558459087955623,0.006179444939963683,0.9993064336591237,0.9164559053040715,0.005406462643019509,0.9347399382392663,0.0014531927381442955,0.002222003794905789,0.9996886061266369,0.8204730927440846
9,9,equal_total,wells,20,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",880,1822723.2862821561,0.0008990071533822054,0.10423086855986767,0.14304359739376757,0.0034549312837182694,0.9990617341870683,0.9806251194750913,0.005303679480289844,0.9169694414235691,0.0014255658487076104,0.0021797609102846153,0.9998056134604384,0.8181385120707537
9,9,equal_total,wells,30,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",760,25658.682683799256,0.0018925926247708197,0.2194271451208309,0.30113582125529004,0.007273331966331162,0.999482972042386,0.8559026701037995,0.003675577213961639,0.6354818380939212,0.0009879513590487997,0.0015106266439178888,0.9998381636786718,0.8847001438916547
9,9,equal_total,wells,30,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",640,195806.8830126492,0.0007066852211188818,0.08193306818363871,0.11244270512592766,0.002715828087684841,0.9997947084678995,0.9785110809461074,0.0037536310605784675,0.6489768074636166,0.001008931302974657,0.0015427060190733794,0.9998875874574943,0.8756510831072007
