outer_fold,test_run,capacity_regime,geometry,budget,role,candidate,variant,selected_4d_variant,solver,iterations,condition_number,relative_frobenius_p,anomaly_relative_frobenius_p,rmse_p,train_range_nrmse_p,ssim_p,anomaly_ssim_p,relative_frobenius_so,anomaly_relative_frobenius_so,rmse_so,train_range_nrmse_so,ssim_so,anomaly_ssim_so
8,8,equal_total,wells,5,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",810,67545887.51523387,0.003277760035083675,0.2429937264029251,0.518195753228008,0.012736787996445825,0.997683747869606,0.9515212516880563,0.015259402688548048,3.872528273399171,0.004097098600911529,0.006264667033055771,0.9991502604066709,0.7261151151964838
8,8,equal_total,wells,5,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",700,13676195.265345197,0.0025546283823371777,0.18938502622353823,0.40387263394315803,0.009926828006706526,0.997920784009291,0.9661582751496556,0.0038812619594441947,0.9849859120433542,0.00104210585881871,0.001593431560871731,0.9998891881168477,0.8310973506715021
8,8,equal_total,wells,10,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,2754691431.0942216,0.002074595607364164,0.15379823782606125,0.3279821042098178,0.008061506683383728,0.998250922518469,0.9530524564598615,0.0031922190651825165,0.8101207391348699,0.0008571001455763294,0.0013105486465043164,0.9998862376124227,0.8571270639384686
8,8,equal_total,wells,10,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,2376503727.165741,0.0019724860178503135,0.1462284372940311,0.31183914222249165,0.007664727120474441,0.997891157438612,0.976070766882328,0.0039061705549108187,0.9913072106003125,0.0010487937334177323,0.0016036576529439074,0.9998879596770229,0.8308990006155653
8,8,equal_total,wells,15,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",2200,5737205701.0202,0.00172954366736385,0.12821812951862244,0.2734312987703086,0.006720696691039622,0.9986888591698602,0.9745825171903331,0.0030050755943606773,0.7626275051773236,0.000806852749388973,0.001233717884774103,0.9998983063241486,0.8775156862164021
8,8,equal_total,wells,15,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",19600,18139409118.957016,0.0016847830586241756,0.12489984294568875,0.2663548938131019,0.006546764988289287,0.9983752995961549,0.9809699216649359,0.0036432047959260253,0.9245718109657819,0.0009781883063761597,0.0014956984520001577,0.9998973532542681,0.8403602530316451
8,8,equal_total,wells,20,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1820,414055.48131591076,0.0009987869642996067,0.07404415324492512,0.15790270115558896,0.0038811071224660425,0.9994541892069796,0.9858352051472463,0.002963890108276002,0.7521754604563143,0.0007957945840820165,0.0012168094013831595,0.9998976339996478,0.8762071214833456
8,8,equal_total,wells,20,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",820,1319593.8131151404,0.0007580280113330546,0.05619570963708925,0.11984004078890224,0.002945560984445306,0.9994164902669697,0.991796713485052,0.003488354596417385,0.8852739571783103,0.0009366115455614107,0.0014321255219370502,0.9999049040424632,0.8423163341494643
8,8,equal_total,wells,30,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",790,31633.640802342885,0.0007594662375145357,0.05630233121264929,0.12006741640256757,0.002951149673601434,0.9996919106713347,0.9813044260412431,0.002297510481054755,0.5830617670895247,0.000616873882263648,0.0009432307713830514,0.999925364966364,0.8845038590948853
8,8,equal_total,wells,30,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",450,109357.92544016935,0.0006930448230850673,0.05137824072633719,0.10956655773312887,0.002693047962384917,0.9998121955131039,0.9640612843072586,0.002761953280135973,0.7009279711296387,0.0007415752209174312,0.0011339053050807451,0.9999257862454051,0.8754803658795087
8,8,equal_total,grid,30,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-D,"lasso(l1=0.001,max_iter=20000)",10530,1.3753305132452049e+19,0.010333820507790917,0.7660882817197997,1.6337199320392137,0.040155374277634416,0.9962843706893072,0.734693909099219,0.003272502463675355,0.8304950445315953,0.0008786559696380595,0.0013435085709591066,0.9999197324914113,0.8620134032710148
8,8,equal_total,grid,30,4D,4D-D-2ecf0e4138e3,4D-D,4D-D,"lasso(l1=0.001,max_iter=20000)",20000,2.545366623204063e+18,0.0035930004647656425,0.26636378580366615,0.5680335235829077,0.013961755803055014,0.9984323679100572,0.9020687483735714,0.0013711659749322466,0.3479742368574524,0.00036815347967246947,0.0005629249358792012,0.9999443172629584,0.9590133378664825
8,8,equal_total,grid,100,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",830,5155.965925602532,0.0009260003269926853,0.06864818281321672,0.14639553591454615,0.00359827129603899,0.9997037688280174,0.9697179881971307,0.0020278404011396696,0.514624946181409,0.0005444683674686967,0.0008325191469553537,0.9999463858280501,0.9038907998609857
8,8,equal_total,grid,100,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",230,15010.252609090472,0.0009755849396085949,0.07232409247799416,0.15423458923388547,0.0037909482132064834,0.9998101625647554,0.9521639891195215,0.00162990802663197,0.4136377448712008,0.00043762485543028277,0.0006691501161455915,0.9999457861446193,0.9441371425232162
8,8,equal_total,grid,300,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",330,5690.746556151413,0.0006690258498050174,0.04959761622691662,0.10576929075281404,0.0025997145373367705,0.9997135638270329,0.9793153783303463,0.0013802263847349267,0.35027358591098995,0.0003705861694103249,0.0005666446391831455,0.9999646545679841,0.9319870875314842
8,8,equal_total,grid,300,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",980,15368.998673275813,0.0005930141514204705,0.0439625588575614,0.09375226117257664,0.0023043467016162877,0.999831576851014,0.9764952989849699,0.001449994839283313,0.3679794108600069,0.00038931876618047756,0.0005952877090383335,0.9999495101561394,0.9504600799160061
8,8,equal_per_property,wells,5,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",810,62046395.38736379,0.0032777600350836953,0.24299372640292663,0.5181957532280114,0.012736787996445906,0.9976837478696104,0.9515212516880478,0.015259402689595756,3.8725282736650577,0.004097098601192834,0.0062646670334859,0.9991502604066084,0.7261151151955202
8,8,equal_per_property,wells,5,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",690,12909376.917627132,0.0025546283327459716,0.18938502254713976,0.40387262610306235,0.009926827814003988,0.9979207840935789,0.9661582760841646,0.003881262533145376,0.9849860576371293,0.0010421060128555598,0.001593431796401717,0.9998891880886106,0.8310973431368364
8,8,equal_per_property,wells,10,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,2429126807.8490105,0.0020745956077705963,0.15379823785619173,0.3279821042740725,0.00806150668496305,0.9982509225182609,0.9530524564545046,0.003192219065182466,0.8101207391348572,0.0008571001455763153,0.0013105486465042947,0.9998862376124228,0.8571270639384915
8,8,equal_per_property,wells,10,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,1995655739.1720052,0.0019741439219968116,0.14635134449354062,0.31210124770879283,0.007671169438827935,0.9978940249841491,0.9760819270889797,0.0039061705549108235,0.9913072106003137,0.0010487937334177336,0.0016036576529439093,0.9998879596770229,0.8308990006155651
8,8,equal_per_property,wells,15,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1580,4143759712.2948475,0.001722947424172881,0.12772912309469958,0.2723884691634328,0.006695064872298434,0.9987183443092713,0.9758201072414014,0.0030050755943606747,0.7626275051773229,0.000806852749388973,0.001233717884774103,0.9998983063241486,0.8775156862164051
8,8,equal_per_property,wells,15,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,7500543146.145641,0.0015768618558207627,0.11689920380603384,0.24929314787154483,0.006127402537800014,0.9985611556970364,0.9823664561065002,0.00364320479592603,0.9245718109657831,0.0009781883063761613,0.00149569845200016,0.9998973532542681,0.8403602530316451
8,8,equal_per_property,wells,20,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",4340,11399221834.184351,0.0009996313977134613,0.07410675453963107,0.15803620141316105,0.0038843884393575346,0.9994676930994794,0.986550739809325,0.0029638901082760087,0.752175460456316,0.0007957945840820184,0.0012168094013831623,0.9998976339996476,0.8762071214833547
8,8,equal_per_property,wells,20,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",6970,12440422735.134413,0.0005973032506123569,0.044280527282459126,0.09443034405924913,0.0023210133723054346,0.9996178015549592,0.9945370095076479,0.0034883054699450288,0.8852614898716237,0.0009365983552678417,0.001432105353323764,0.999904905310658,0.8423186355450231
8,8,equal_per_property,wells,30,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",2760,26953875645.57004,0.0007178594833022661,0.053217852745233996,0.11348961842235356,0.0027894732842533108,0.9997587860016821,0.9870933348417119,0.002297510481054725,0.5830617670895171,0.0006168738822636396,0.0009432307713830387,0.999925364966364,0.8845038590948885
8,8,equal_per_property,wells,30,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",5340,33675741985.038185,0.0002875928010350044,0.02132042787212968,0.045466833007951506,0.001117534077198963,0.9999307771459545,0.998089324214815,0.0027618982370977312,0.7009140023180019,0.0007415604420457058,0.0011338827074526422,0.9999257875424199,0.8754821800041901
8,8,equal_per_property,grid,30,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",10530,14951.55832386264,0.01033382050143608,0.7660882812486897,1.633719931034549,0.040155374252940655,0.9962843706892937,0.734693910234937,0.0032725024636760997,0.8304950445317842,0.0008786559696382598,0.0013435085709594128,0.9999197324914114,0.8620134032709941
8,8,equal_per_property,grid,30,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",6360,52287.632264787906,0.0035453252835928413,0.262829430083261,0.5604963408258755,0.013776498594232335,0.9991695750340723,0.9096455075662244,0.002247386873470811,0.5703414076170493,0.0006034158612194226,0.000922652789504077,0.9999369998437749,0.9166137564729284
8,8,equal_per_property,grid,100,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1950,2.6128595600555475e+17,0.0007025053853517254,0.05207959081128429,0.11106222036164896,0.002729810011658766,0.9997994186042461,0.9884363151586857,0.0020278403999598746,0.5146249458820009,0.0005444683671519253,0.0008325191464709945,0.9999463858281155,0.9038907998754871
8,8,equal_per_property,grid,100,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,1.1100440495197536e+18,0.0004379791822692516,0.03246918396934891,0.06924208905622588,0.0017019085996872725,0.9996334736322763,0.975269612905047,0.001629907143842936,0.41363752083716987,0.00043762461840437877,0.0006691497537212245,0.9999457862242552,0.9441371233220897
8,8,equal_per_property,grid,300,3D,3D-independent-fa9b36e31dc0,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",2470,140808.78293819726,0.00045608145958667964,0.03381117965379769,0.07210395909223888,0.0017722508047227502,0.9998510285986281,0.9941103138875598,0.001380225955560027,0.3502734769950666,0.00037058605417829933,0.0005666444629876613,0.9999646545746917,0.9319871192921532
8,8,equal_per_property,grid,300,4D,4D-B-643a4d560541,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",2220,92997.87910293088,0.000133883373671422,0.00992532080554933,0.021166221725135624,0.0005202467930689463,0.9999770689557591,0.997936393904557,0.0014499903896573855,0.3679782816347966,0.0003893175714707941,0.0005952858822679535,0.9999495103277698,0.950460123148017
