outer_fold,test_run,capacity_regime,geometry,budget,role,candidate,variant,selected_4d_variant,solver,iterations,condition_number,relative_frobenius_p,anomaly_relative_frobenius_p,rmse_p,train_range_nrmse_p,ssim_p,anomaly_ssim_p,relative_frobenius_so,anomaly_relative_frobenius_so,rmse_so,train_range_nrmse_so,ssim_so,anomaly_ssim_so
2,2,equal_total,wells,5,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-E,"lasso(l1=0.001,max_iter=20000)",1060,28799502.715205733,0.0024513126612718578,0.5907063832884027,0.392194368876247,0.009472668606052033,0.998407652191473,0.5134258305323501,0.014646260794274382,4.879562692416984,0.003940329280244582,0.006024958963848388,0.9992088629868984,0.7234089972351706
2,2,equal_total,wells,5,4D,4D-E-4f4328240852,4D-E,4D-E,"lasso(l1=0.001,max_iter=20000)",15670,33715.45776557887,0.0019067411567190106,0.45947797290299214,0.3050664064133608,0.007368267369756139,0.9978637650261148,0.8523188106869893,0.002519977235546927,0.8395581013497903,0.0006779573453080316,0.0010366304169551386,0.9999209146157853,0.8820814545760397
2,2,equal_total,wells,10,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-E,"lasso(l1=0.001,max_iter=20000)",14210,8447263365.921289,0.0016965360546830036,0.40882368569834227,0.27143493270131114,0.006555966555442506,0.9986959746812435,0.7632050062566876,0.004329907088399214,1.4425561163327216,0.0011648884258450226,0.001781172197553643,0.9998312529751914,0.7985298736810009
2,2,equal_total,wells,10,4D,4D-E-4f4328240852,4D-E,4D-E,"lasso(l1=0.001,max_iter=20000)",13530,1653482.7535386418,0.0019736119196885784,0.47559219087508653,0.31576530137420006,0.007626677725583991,0.9971383740092098,0.8820929137437161,0.0026502005471835182,0.8829434282991309,0.0007129917295115863,0.0010901997285881534,0.9999068058269487,0.8546965756534699
2,2,equal_total,wells,15,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",2820,48482216133.554184,0.0010302786653787787,0.2482719539698923,0.1648380059054734,0.003981331522171088,0.9991529029582327,0.887903835050207,0.00414873082712429,1.382195254424929,0.0011161460104794634,0.0017066426261676398,0.9998447499275803,0.8074328876716895
2,2,equal_total,wells,15,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",7270,21367596806.77292,0.0008834971068703664,0.2129011891834237,0.1413538940614909,0.003414119887687621,0.9990192599379367,0.9569041353762087,0.0030015519253467527,1.0,0.0008075168880129315,0.0012347333856805168,0.9999259385562328,0.8427800744893107
2,2,equal_total,wells,20,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",3640,1545653.6557524898,0.0009777769527086477,0.23562032560040927,0.15643806721511452,0.0037784478455060826,0.9991657969528897,0.914462395436616,0.004239157787561998,1.4123219897561063,0.0011404738580400855,0.001743841112082606,0.9998394145960792,0.8179889660507808
2,2,equal_total,wells,20,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",150,2584616.1412479593,0.0010562771379177525,0.254536949834007,0.16899759545529403,0.004081798067510705,0.9983094991825425,0.9003187674153312,0.0030015519253467527,1.0,0.0008075168880129315,0.0012347333856805168,0.9999259385562328,0.8427800744893107
2,2,equal_total,wells,30,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1780,27256.89224795088,0.0010171128137114321,0.24509930580297315,0.16273155373110482,0.003930454393467112,0.9995788913060746,0.9243708575411682,0.0029809621017010666,0.9931402740456315,0.0008019775434576402,0.0012262634530280417,0.9999032139869254,0.8309478762379471
2,2,equal_total,wells,30,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",380,132682.30283810548,0.0005603564281315486,0.13503219081088297,0.08965344941463903,0.0021653993098567407,0.9998311487343493,0.9792342116230163,0.0024721454662511803,0.82362242191282,0.0006650890150407157,0.0010169541015308057,0.9999452947502582,0.8711217085295815
2,2,equal_total,grid,30,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1710,1.2727767285497383e+19,0.008557885159782501,2.062240966319547,1.369206964979678,0.03307044889378141,0.9974849908802533,-0.06256286228938947,0.004887793489823452,1.6284221000970334,0.0013149783466418418,0.0020106671329697917,0.9999290222495689,0.7731563510988203
