outer_fold,test_run,capacity_regime,geometry,budget,role,candidate,variant,selected_4d_variant,solver,iterations,condition_number,relative_frobenius_p,anomaly_relative_frobenius_p,rmse_p,train_range_nrmse_p,ssim_p,anomaly_ssim_p,relative_frobenius_so,anomaly_relative_frobenius_so,rmse_so,train_range_nrmse_so,ssim_so,anomaly_ssim_so
5,5,equal_total,wells,5,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-E,"lasso(l1=0.001,max_iter=20000)",1640,59369167.58030306,0.0027171669003273353,0.21887544861968458,0.42946261433650834,0.010372808349989698,0.9981253894145108,0.9365288868077029,0.02253247869878169,7.547482466068831,0.006052761222143308,0.009254972208597412,0.9984334269991345,0.7045043307335331
5,5,equal_total,wells,5,4D,4D-E-4f4328240852,4D-E,4D-E,"lasso(l1=0.001,max_iter=20000)",20000,64275.31554810144,0.002555450064483267,0.2058487019040293,0.40390241223944356,0.009755452918133381,0.9960579624138557,0.9456492491748096,0.0024007095943300413,0.80414204808763,0.0006448878586524032,0.0009860655311587601,0.9998956244125606,0.8763354761290534
5,5,equal_total,wells,10,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-C,"lasso(l1=0.001,max_iter=20000)",2530,19756381799.94313,0.0022406092401178693,0.18048738653232133,0.35414015305855334,0.008553545324050145,0.9982000004290944,0.9350481347400641,0.0034531312201063055,1.1566613547135576,0.0009275934096483546,0.0014183363447028072,0.9998751536914966,0.82511392480067
5,5,equal_total,wells,10,4D,4D-C-44adce3e7a5f,4D-C,4D-C,"lasso(l1=0.001,max_iter=20000)",20000,3171758.209994038,0.001470719235380854,0.11847057771784437,0.23245496171234878,0.005614483513475439,0.998115980510473,0.9729325961064529,0.0026236499287240474,0.8788181761475784,0.0007047749500332858,0.0010776358651009173,0.9998979692074761,0.8628424994398494
5,5,equal_total,wells,15,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-C,"lasso(l1=0.001,max_iter=20000)",2750,64005836926.48276,0.0011031917080323876,0.08886519999195346,0.17436529018106006,0.004211443971049109,0.9992138900284135,0.9649666986037819,0.0029875631423075216,1.0007146010997316,0.0008025307192431208,0.0012271092862491445,0.9998980673073989,0.8502527699616073
5,5,equal_total,wells,15,4D,4D-C-44adce3e7a5f,4D-C,4D-C,"lasso(l1=0.001,max_iter=20000)",20000,18504769.947495885,0.0023611163605157357,0.1901945745728395,0.373186941449063,0.009013582307625063,0.9945847172914173,0.9532080042244863,0.003492433046292668,1.1698259003452858,0.0009381508175873719,0.001434479145233741,0.9998562241197304,0.8402302558521705
5,5,equal_total,wells,20,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-E,"lasso(l1=0.001,max_iter=20000)",3110,5429732.192337173,0.0008857000466532161,0.07134563395069485,0.13998958161452435,0.003381167656062633,0.9993591545296742,0.9615414488062128,0.002884106766082482,0.9660608377033537,0.0007747398689523241,0.001184615697347328,0.9999012930129496,0.8612014585096921
5,5,equal_total,wells,20,4D,4D-E-4f4328240852,4D-E,4D-E,"lasso(l1=0.001,max_iter=20000)",5510,6344.165725207125,0.00202220823495588,0.16289457028755486,0.3196207178927231,0.0077197975812385005,0.9808443494062181,0.8942183907677125,0.005976273874767676,2.00181359917021,0.0016053697085735047,0.002454689932756137,0.999439584211844,0.8198724454568052
5,5,equal_total,wells,30,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-E,"lasso(l1=0.001,max_iter=20000)",1740,36300.36208591857,0.001136621277600049,0.09155804599835939,0.17964901064038932,0.00433906164455537,0.9996093944321456,0.9844019559394757,0.0022382173763713714,0.7497136302330951,0.0006012385731517617,0.0009193236080252844,0.9999303596418392,0.8773949289326058
5,5,equal_total,wells,30,4D,4D-E-4f4328240852,4D-E,4D-E,"lasso(l1=0.001,max_iter=20000)",110,907.5673314569545,0.0021501119374332618,0.1731975738522174,0.3398365752412864,0.008208071081439079,0.9649368417935089,0.8543962045984191,0.00499815460278746,1.6741826201872434,0.0013426235420635156,0.0020529380083502413,0.999591926096883,0.8218469272285597
