outer_fold,test_run,method,candidate,regime,budget,measurements,placement,solver,rmse_p,rmse_so,mae_p,mae_so,score,condition,online_seconds_per_snapshot,iterations,storage_floats,memory_bytes,basis_seconds,config_json,solver_json,seed
1,1,final_accuracy,TBMD-independent-22aa05a294a7,well_joint,11,22,configured,ridge(alpha_relative=1e-08),0.2621015052933952,0.000865516938139,0.1858768624831522,0.0002711746823228,0.8061922531349661,1331670089.7579713,8.499398398654241e-07,0.0,149728.0,1197824.0,0.5414685420037131,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-22aa05a294a7"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 4.0], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [80, 48]}","{""alpha_relative"": 1e-08, ""name"": ""ridge""}",-1
1,1,final_accuracy,TBMD-independent-22aa05a294a7,well_joint,12,24,configured,ridge(alpha_relative=1e-08),0.2999655296087248,0.0007960586249584,0.1959138851085833,0.0002488260819302,0.7820758147996607,1493402159.8588808,8.903533531899067e-07,0.0,149728.0,1197824.0,0.5414685420037131,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-22aa05a294a7"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 4.0], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [80, 48]}","{""alpha_relative"": 1e-08, ""name"": ""ridge""}",-1
1,1,final_accuracy,TBMD-independent-22aa05a294a7,well_joint,13,26,configured,ridge(alpha_relative=1e-08),0.3272621094097659,0.0009171784498179,0.2213859892547731,0.0002904904725519,0.888429715501093,2020524887.3473165,8.192406052590481e-07,0.0,149728.0,1197824.0,0.5414685420037131,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-22aa05a294a7"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 4.0], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [80, 48]}","{""alpha_relative"": 1e-08, ""name"": ""ridge""}",-1
1,1,final_accuracy,TBMD-independent-22aa05a294a7,well_joint,14,28,configured,ridge(alpha_relative=1e-08),0.2084105700849216,0.0013264401918093,0.1680352198097762,0.0003600777715938,1.1023577877706503,2229041695.032093,9.445488978968584e-07,0.0,149728.0,1197824.0,0.5414685420037131,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-22aa05a294a7"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 4.0], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [80, 48]}","{""alpha_relative"": 1e-08, ""name"": ""ridge""}",-1
1,1,final_accuracy,TBMD-independent-22aa05a294a7,well_joint,15,30,condition_joint,ridge(alpha_relative=1e-06),0.1864478132072182,0.0005670783596418,0.1428894138263681,0.0001744670279923,0.538352567584955,26482.03352363578,1.3674812214589095e-06,0.0,149728.0,1197824.0,0.5414685420037131,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-22aa05a294a7"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 4.0], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [80, 48]}","{""alpha_relative"": 1e-06, ""name"": ""ridge""}",-1
1,1,final_accuracy,TBMD-independent-22aa05a294a7,well_joint,16,32,condition_joint,ridge(alpha_relative=1e-06),0.1927670595558436,0.000615892295823,0.1477806669694327,0.0001907625322218,0.5779896710978172,36200.136088852225,8.77195522381707e-07,0.0,149728.0,1197824.0,0.5414685420037131,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-22aa05a294a7"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 4.0], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [80, 48]}","{""alpha_relative"": 1e-06, ""name"": ""ridge""}",-1
1,1,final_accuracy,TBMD-independent-22aa05a294a7,well_joint,17,34,condition_joint,ridge(alpha_relative=1e-06),0.1820437202224921,0.0006169264435329,0.148363158031819,0.0001817827741267,0.5713487051039703,29004.67414582442,1.0021954894773102e-06,0.0,149728.0,1197824.0,0.5414685420037131,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-22aa05a294a7"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 4.0], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [80, 48]}","{""alpha_relative"": 1e-06, ""name"": ""ridge""}",-1
1,1,final_accuracy,TBMD-independent-22aa05a294a7,well_joint,18,36,condition_joint,ridge(alpha_relative=1e-06),0.1739172615411619,0.0006075976033351,0.1420439761617705,0.0001782005477544,0.559006558658377,29494.70997374859,7.832030060217905e-07,0.0,149728.0,1197824.0,0.5414685420037131,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-22aa05a294a7"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 4.0], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [80, 48]}","{""alpha_relative"": 1e-06, ""name"": ""ridge""}",-1
1,1,final_accuracy,TBMD-independent-22aa05a294a7,well_joint,19,38,condition_joint,ridge(alpha_relative=1e-06),0.173121398781144,0.0005985726219755,0.1412054733848791,0.0001745807345466,0.5519348758597875,24597.054104698243,8.991202803440672e-07,0.0,149728.0,1197824.0,0.5414685420037131,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-22aa05a294a7"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 4.0], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [80, 48]}","{""alpha_relative"": 1e-06, ""name"": ""ridge""}",-1
1,1,final_accuracy,TBMD-independent-22aa05a294a7,well_joint,20,40,condition_joint,ridge(alpha_relative=1e-06),0.1823141951741183,0.0005928806672396,0.1493978964845358,0.000173821719359,0.5541545873316382,24873.100396236932,9.72744382487232e-07,0.0,149728.0,1197824.0,0.5414685420037131,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-22aa05a294a7"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 4.0], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [80, 48]}","{""alpha_relative"": 1e-06, ""name"": ""ridge""}",-1
