method,regime,budget,n_folds,rmse_p_mean,rmse_p_median,rmse_p_sd,rmse_p_q25,rmse_p_q75,rmse_so_mean,rmse_so_median,rmse_so_sd,rmse_so_q25,rmse_so_q75,mae_p_mean,mae_p_median,mae_p_sd,mae_p_q25,mae_p_q75,mae_so_mean,mae_so_median,mae_so_sd,mae_so_q25,mae_so_q75,score_mean,score_median,score_sd,score_q25,score_q75,condition_mean,condition_median,condition_sd,condition_q25,condition_q75,online_seconds_per_snapshot_mean,online_seconds_per_snapshot_median,online_seconds_per_snapshot_sd,online_seconds_per_snapshot_q25,online_seconds_per_snapshot_q75,storage_floats_mean,storage_floats_median,storage_floats_sd,storage_floats_q25,storage_floats_q75,memory_bytes_mean,memory_bytes_median,memory_bytes_sd,memory_bytes_q25,memory_bytes_q75,basis_seconds_mean,basis_seconds_median,basis_seconds_sd,basis_seconds_q25,basis_seconds_q75,measurements_mean,measurements_median,measurements_sd,measurements_q25,measurements_q75,compression_vs_pode
POD,well_joint,30,10,0.21638360242452878,0.17912139511489034,0.12307129290893183,0.1473877501309532,0.2641081100552693,0.00075555643988257,0.000750592029771,0.00025807722834501824,0.0006174011082072,0.0007822789547786,0.1546122678744226,0.1320465409067496,0.0841257810708123,0.1063965357758699,0.2137403689338048,0.00022762183880241003,0.0002217949748086,7.530938289998392e-05,0.000209037244803,0.000231625173127,0.6139845818792746,0.5841949551375895,0.34110236205993333,0.4058661339053108,0.6725945712621582,62.255938173145765,60.34213368964376,11.79040430437707,51.05970548654898,72.69364015087287,1.1457067728742844e-06,8.421014999634678e-07,6.821620539709477e-07,7.18360930012497e-07,1.0958646907282054e-06,316800.0,316800.0,0.0,316800.0,316800.0,2534400.0,2534400.0,0.0,2534400.0,2534400.0,1.292954733499937,1.29505272949973,0.10029715001858687,1.2014440409984672,1.352346416999353,60.0,60.0,0.0,60.0,60.0,1.0
POD-E,well_joint,30,10,0.08397055428490806,0.07756327305775575,0.027327606931751017,0.0703506669587883,0.1043299740385059,0.0005749407677216499,0.0005761495604816,0.00013026236559156822,0.0004578937824576,0.000662267302888,0.06440237143441689,0.06158200514403375,0.022974167059443405,0.0485061747565998,0.0720678593136519,0.00018740247118864,0.0001956895836703,4.4408426759022224e-05,0.0001402266687051,0.000211213417457,0.40377597305604657,0.3697765684209473,0.12608767682295233,0.3085688325194058,0.4936974874284341,20179.546694305518,19188.550294584602,3877.2147728284735,17030.577055608883,23323.23233355352,0.0005963643473567252,9.067969626915131e-07,0.0009649842933777532,7.706766517454744e-07,0.0018437365263099,316800.0,316800.0,0.0,316800.0,316800.0,2534400.0,2534400.0,0.0,2534400.0,2534400.0,1.25942648339842,1.241910395994637,0.08394504072825856,1.2020911250001518,1.3391447919930215,60.0,60.0,0.0,60.0,60.0,1.0
POD-E random,well_joint,30,10,0.08397055428487973,0.07756327305780153,0.027327606931763542,0.07035066695883485,0.10432997403849445,0.0005749407677216699,0.00057614956048155,0.00013026236559156418,0.0004578937824576,0.000662267302888,0.06440237143438907,0.061582005144075816,0.022974167059443506,0.04850617475666155,0.07206785931351645,0.00018740247118863,0.0001956895836703,4.4408426759018077e-05,0.0001402266687051,0.000211213417457,0.4037759730560449,0.36977656842090173,0.1260876768229538,0.3085688325194542,0.49369748742843544,20179.54669430554,19188.5502945846,3877.2147728284895,17030.577055608912,23323.232333553562,,,,,,316800.0,316800.0,0.0,316800.0,316800.0,2534400.0,2534400.0,0.0,2534400.0,2534400.0,1.25942648339842,1.241910395994637,0.08394504072825856,1.2020911250001518,1.3391447919930215,60.0,60.0,0.0,60.0,60.0,1.0
final_accuracy,well_joint,30,10,0.1787447173101422,0.17598802831930255,0.04626701207277428,0.1473031663885754,0.2167283475010728,0.00064433977860039,0.0006512700283474999,0.00012865467380149956,0.0005201158855381,0.0007490585439137,0.1405168606030423,0.12760839324121137,0.04362671748765961,0.114883460713775,0.1635225588209923,0.00019527225564526998,0.00019973681304215,3.91165223002175e-05,0.0001533007453786,0.000224255833266,0.49896007232591516,0.5041886768851511,0.1412702118993955,0.3706254879605353,0.6065293483790135,7080902.429449977,8642810.691253712,5539935.699249909,31595.757885667535,10343712.777846469,0.0011959505315856118,0.00169630560524915,0.0008402582045879739,0.0002691469248143,0.001862363413539,149728.0,149728.0,0.0,149728.0,149728.0,1197824.0,1197824.0,0.0,1197824.0,1197824.0,0.6617432206992817,0.623701541499031,0.1423143578430971,0.5486494580036378,0.6849100419931347,60.0,60.0,0.0,60.0,60.0,2.115836717247275
final_pareto,well_joint,30,10,0.17535106919925286,0.1462692245617195,0.08348268605991355,0.1201760719176323,0.1844624255267252,0.0006512128397160499,0.00064084430440325,0.00011844161159732624,0.000614546691113,0.0007003686378545,0.13962279967005103,0.1173841838705702,0.07207774737509921,0.0912993773709258,0.1587924954589845,0.00019681488378855,0.00019321894120935,3.7859243672618315e-05,0.0001649052426287,0.0002221028995504,0.4948910055088732,0.5112437450222538,0.10477584612580264,0.427244006380064,0.5638068544461312,7800904.18082118,9325919.441758178,4698943.223356525,5330575.43208808,10943732.4518109,0.0014758404127846346,0.0018386812330835,0.0008698452900767167,0.0007563906616624,0.0018719827668864,120704.0,120704.0,0.0,120704.0,120704.0,965632.0,965632.0,0.0,965632.0,965632.0,0.5578846539989172,0.5259898334988975,0.12132465539589683,0.5040131669957191,0.586913375002041,60.0,60.0,0.0,60.0,60.0,2.6246023329798516
original_basis_optimized_recovery,well_joint,30,10,0.42887296224693056,0.4217230457438001,0.050649024537584,0.4087649357368119,0.4430388554891553,0.004234502831590799,0.0042349331694154,2.697805659880981e-05,0.0042072028963555,0.0042455149216025,0.26591021284734156,0.2744323998884029,0.04577157211194872,0.2287593973108904,0.2859326293736411,0.0018950925392728101,0.00189939657141265,2.3582879860693712e-05,0.0018838366298924,0.0019060139721931,2.8639657490242163,2.9845621187186735,0.530623902717778,2.5904917715919167,3.258111541691396,1451.966955401626,1425.409600554574,77.31312570119124,1382.211482721543,1548.9535128482305,0.0001317129082812289,0.0001599645977404,7.13736921764585e-05,0.0001329176090272,0.0001731817067873,101860.0,101860.0,0.0,101860.0,101860.0,814880.0,814880.0,0.0,814880.0,814880.0,10.209926687399275,10.074531104499329,0.8754358776760668,9.508314083002915,10.710296749995903,60.0,60.0,0.0,60.0,60.0,3.1101511879049677
prior+IDW,well_joint,30,10,0.31269414005666224,0.2789485758324407,0.16468255193055137,0.1825125010552699,0.4316008072065143,0.0007800290695027798,0.00073019385454045,0.00019747896357316867,0.0006335899073518,0.0008884172113354,0.2364746038399764,0.2417830883387693,0.12233287635782822,0.1362012270075095,0.2719301626851161,0.00062120983017199,0.0005788303300747501,0.00021765159410909755,0.0004979537449541,0.0007810163578695,0.6127871642670137,0.6276651173371159,0.06386614752524948,0.5621096199451817,0.6614788531740388,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,60.0,60.0,
rank_optimized_joint,well_joint,30,10,0.0891685620779109,0.08167548856762995,0.023442785334992822,0.0785330062257792,0.09572806556284,0.0006427652950720799,0.00063762362206855,0.00013212520960664338,0.000561662204417,0.0007107611808677,0.07079084485488184,0.0650742549844448,0.02214002070981832,0.054619809900547,0.0717876312818999,0.00025631175356403995,0.00026228426971395,4.327481976181088e-05,0.0002321201535275,0.0002705641959248,0.4507531686270109,0.4390454211433962,0.1395479941105896,0.369305282006774,0.4983479519317942,21132.496692163113,21283.973275229186,3662.445697276744,18948.86465144641,23553.67663776051,0.001447241072173339,0.0018423242481114999,0.0007859450194725095,0.0013056970526389,0.0018474364060102,259188.0,259188.0,0.0,259188.0,259188.0,2073504.0,2073504.0,0.0,2073504.0,2073504.0,1.1137917291998747,1.0975723335031944,0.17525642300395397,0.9818984160010586,1.2366713330047787,60.0,60.0,0.0,60.0,60.0,1.22227880920413
prior,none,0,10,1.1481464013873708,1.2367856108654491,0.5580050971444968,0.6071516920506138,1.3527587275870714,0.0008386444083656299,0.0007760734124947,0.0002133318081763985,0.0006994927465492,0.0008688250755707,1.0143198954705144,1.0645079538223294,0.5516888708774714,0.4754650992754951,1.2992988462903476,0.00026129786907319,0.00023717376028905,6.967622725979906e-05,0.0002199565771183,0.0002730909046807,1.0,1.0,0.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
