method,regime,budget,placement,rmse_p_mean,rmse_p_median,rmse_p_sd,rmse_so_mean,rmse_so_median,rmse_so_sd,score_mean,score_median,score_sd,condition_mean,condition_median,condition_sd,online_seconds_per_snapshot_mean,online_seconds_per_snapshot_median,online_seconds_per_snapshot_sd,basis_seconds_mean,basis_seconds_median,basis_seconds_sd,basis_clustering_placement_seconds_mean,basis_clustering_placement_seconds_median,basis_clustering_placement_seconds_sd
POD-E,grid,2,cluster_constrained,1.0918011055247883,0.8135402549336792,0.565849421494517,0.01354998018704465,0.01339805645741325,0.008626340080548273,8.728237077375603,7.250227065318598,5.379703324717107,64.79941836156739,82.17267320705068,43.314607081003096,0.000322315726307554,4.4705261541110345e-07,0.0007470151456347951,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,grid,2,condition_joint,1.2381490571642706,1.178890210205612,0.29229437206918624,0.0036096286625862104,0.0035414304167112,0.00020993638392692801,2.8818974879635624,2.9336375178043745,0.503281687095566,5.846257508861225,5.836404075431883,0.09549582068482725,3.589686617706249e-05,4.4376691877736915e-07,7.501903549753016e-05,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,grid,2,qr_joint,1.2381490571642706,1.178890210205612,0.29229437206918624,0.0036096286625862104,0.0035414304167112,0.00020993638392692801,2.8818974879635624,2.9336375178043745,0.503281687095566,5.846257508861225,5.836404075431883,0.09549582068482725,3.418283232532823e-05,4.373421114379246e-07,7.116183445225186e-05,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,grid,2,qr_whitened,1.0574435747496813,1.030482800608441,0.2695755469296936,0.016764192112148822,0.017810595166379152,0.003940767326901853,11.104211882482307,11.274491480593127,3.6750778038087604,26.400056497873685,26.186859108937828,0.673843062278402,4.1825408282279764e-05,4.2825939131137404e-07,8.74169414181939e-05,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,grid,2,well_region,1.2381490571642706,1.178890210205612,0.29229437206918624,0.0036096286625862104,0.0035414304167112,0.00020993638392692801,2.8818974879635624,2.9336375178043745,0.503281687095566,5.846257508861225,5.836404075431883,0.09549582068482725,4.156566317117297e-05,4.5034214149621364e-07,8.681408421926734e-05,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,grid,5,cluster_constrained,0.5952080653766231,0.4182827323179586,0.42345554811295333,0.00409830645272772,0.0034610708291947,0.001980595434450034,2.6636197254112557,2.5345969373806025,0.57017972792243,250.36651939904036,257.90755513961386,23.504039986816053,0.0003734304195633473,4.669473811991065e-07,0.000786317033142197,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,grid,5,condition_joint,0.633318172341715,0.6046214157871594,0.17264318582220786,0.00109441635462284,0.0009044509410168001,0.00047188338132836123,0.9727654745002774,1.0978457262215848,0.23911667883215898,70.0063781509225,69.4937708983453,2.5386208130732304,0.0002115781330792244,4.4235716095978496e-07,0.0005884531162406497,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,grid,5,qr_joint,0.6333181723418251,0.6046214157877102,0.1726431858221893,0.001094416354623,0.0009044509410176,0.0004718833813282904,0.9727654745004661,1.0978457262225279,0.23911667883224705,70.0063781509225,69.49377089834528,2.538620813073233,0.00024339642705696265,4.642819189221452e-07,0.0006800893674013144,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,grid,5,qr_whitened,0.6863435574832287,0.6345306644801394,0.24451805277531913,0.01772379203916239,0.0175614479930011,0.004489786971297575,11.172153133251985,10.78857970386748,2.623802238896926,123.9687210514827,122.24150622378423,7.495163133631156,0.0004175000000045565,4.6977067157920256e-07,0.0008804406756137256,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
POD-E,grid,5,well_region,0.6333181723418251,0.6046214157877102,0.1726431858221893,0.001094416354623,0.0009044509410176,0.0004718833813282904,0.9727654745004661,1.0978457262225279,0.23911667883224705,70.0063781509225,69.49377089834528,2.538620813073233,0.00021316770226097845,4.3812780544735997e-07,0.0005920359902267966,1.313853704200301,1.2764763754967134,0.13878942460393157,13.38655334149953,13.366374561999692,0.5581624266571243
