outer_fold,test_run,label,candidate,family,architecture,rank,rmse_p,rmse_so,mae_p,mae_so,prior_rmse_p,prior_rmse_so,score,storage_floats,storage_bytes,explicit_basis_floats,basis_compression,training_compression,fit_seconds,elapsed_seconds,config_json
8,8,hybrid,TBMD-joint-residual-723209d14fc1,TBMD,joint-residual,24,0.04706550781121417,0.0004620821445849181,0.024057345834653986,0.00016748122280751406,2.0728610735339172,0.0009238792476391994,0.2614299204704808,188708,1509664,237600,1.2590881149712785,62.79701973419251,0.7266895829961868,0.8070091669942485,"{""architecture"": ""joint-residual"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-residual-723209d14fc1"", ""modal_rank"": 16, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""residual_rank"": 8, ""scaling"": ""minmax"", ""spatial_ranks"": [64, 48]}"
8,8,POD,POD-matrix-6ec0ff3d4617,POD,matrix,32,0.00809848831029821,0.0002374335435683288,0.004000682711998208,7.605922710608026e-05,2.0728610735339172,0.0009238792476391994,0.13045160404952463,316800,2534400,316800,1.0,37.40625,1.5235437079973053,1.6368144590014708,"{""architecture"": ""matrix"", ""family"": ""POD"", ""id"": ""POD-matrix-6ec0ff3d4617"", ""modal_rank"": 32, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
8,8,POD-E,POD-E-matrix-e7c774107192,POD-E,matrix,32,0.008098488310298116,0.00023743354356833016,0.0040006827119977665,7.605922710608143e-05,2.0728610735339172,0.0009238792476391994,0.13045160404952535,316800,2534400,316800,1.0,37.40625,1.4155277919999207,1.5033397919978597,"{""architecture"": ""matrix"", ""family"": ""POD-E"", ""id"": ""POD-E-matrix-e7c774107192"", ""modal_rank"": 32, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
8,8,original_tbmd,TBMD-HOOI-joint-original-7339ef1b8352,TBMD-HOOI,joint-original,16,0.3999489072377535,0.004153372382732524,0.15793979809249223,0.0018542882220023511,2.0728610735339172,0.0009238792476391994,2.3442623045398077,101860,814880,158400,1.5550755939524838,116.33909287257019,10.408207124994078,11.220359041995835,"{""architecture"": ""joint-original"", ""family"": ""TBMD-HOOI"", ""id"": ""TBMD-HOOI-joint-original-7339ef1b8352"", ""modal_energy"": 0.999999, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""energy"", ""scaling"": ""minmax"", ""spatial_ranks"": [48, 48]}"
9,9,final_accuracy,TBMD-independent-49ddb52e8039,TBMD,independent,32,0.036897484274758766,0.0003070945073959035,0.020110456630779792,9.738268265331918e-05,1.2891751560653035,0.001402114694793152,0.12382169436098858,149728,1197824,316800,2.115836717247275,79.14551720453088,0.6407486669995706,0.8273878339969087,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-49ddb52e8039"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 2.0], ""rank_strategy"": ""fixed"", ""scaling"": ""none"", ""spatial_ranks"": [80, 48]}"
9,9,final_pareto,TBMD-independent-17e41951f6da,TBMD,independent,32,0.04919339054631982,0.0003081107148554283,0.028118005199912026,0.00010099205050971094,1.2891751560653035,0.001402114694793152,0.1289529826648876,120704,965632,316800,2.6246023329798516,98.17653101802757,0.471434582999791,0.5617272090021288,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-17e41951f6da"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 0.25], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [64, 48]}"
9,9,rank_optimized_joint,TBMD-joint-acd9116c1da9,TBMD,joint,32,0.04038813834342106,0.00044469528892344956,0.023745655256804485,0.0001921162950700759,1.2891751560653035,0.001402114694793152,0.1742445444046087,259188,2073504,316800,1.22227880920413,45.72086670679198,0.9318668749983772,1.0253579580021324,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-acd9116c1da9"", ""modal_rank"": 32, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [80, 48]}"
9,9,property_decoupled,TBMD-independent-49ddb52e8039,TBMD,independent,32,0.036897484274758766,0.0003070945073959035,0.020110456630779792,9.738268265331918e-05,1.2891751560653035,0.001402114694793152,0.12382169436098858,149728,1197824,316800,2.115836717247275,79.14551720453088,0.5202077499998268,0.6005352920037694,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-49ddb52e8039"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 2.0], ""rank_strategy"": ""fixed"", ""scaling"": ""none"", ""spatial_ranks"": [80, 48]}"
9,9,hybrid,TBMD-joint-residual-723209d14fc1,TBMD,joint-residual,24,0.05346258373929851,0.0008311878133083911,0.029410232357010933,0.00027452567110284806,1.2891751560653035,0.001402114694793152,0.3171402617595449,188708,1509664,237600,1.2590881149712785,62.79701973419251,0.6344017499941401,0.7139780409997911,"{""architecture"": ""joint-residual"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-residual-723209d14fc1"", ""modal_rank"": 16, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""residual_rank"": 8, ""scaling"": ""minmax"", ""spatial_ranks"": [64, 48]}"
9,9,POD,POD-matrix-6ec0ff3d4617,POD,matrix,32,0.013812576239757604,0.0003748302035217362,0.007215406164547544,0.00011948748006963585,1.2891751560653035,0.001402114694793152,0.1390231649401491,316800,2534400,316800,1.0,37.40625,1.3719715420011198,1.4554203750012675,"{""architecture"": ""matrix"", ""family"": ""POD"", ""id"": ""POD-matrix-6ec0ff3d4617"", ""modal_rank"": 32, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
