label,rmse_p_mean,rmse_p_median,rmse_p_sd,rmse_so_mean,rmse_so_median,rmse_so_sd,mae_p_mean,mae_p_median,mae_p_sd,mae_so_mean,mae_so_median,mae_so_sd,score_mean,score_median,score_sd,storage_floats_mean,storage_floats_median,storage_floats_sd,fit_seconds_mean,fit_seconds_median,fit_seconds_sd
POD,0.013272396236858691,0.01231924223279585,0.003976304570597654,0.00035903685578514,0.0003774893505366,7.71571820557156e-05,0.0064612437920181605,0.0064560787419935,0.0018099707136634195,0.000114577942542115,0.0001203450987534,2.451371909311254e-05,0.23053774191579807,0.24303708613227826,0.06680411140795312,316800.0,316800.0,0.0,1.4339776208988042,1.4337613959978626,0.15712771360045358
POD-E,0.01327239623685857,0.0123192422327952,0.003976304570597715,0.00035903685578514,0.0003774893505366,7.71571820557156e-05,0.00646124379201852,0.0064560787419947,0.0018099707136632,0.00011457794254212438,0.0001203450987534,2.451371909310916e-05,0.2305377419157988,0.2430370861322789,0.06680411140795378,316800.0,316800.0,0.0,1.4884617957992305,1.3908453959993494,0.2468105126382047
final_accuracy,0.04242551188767909,0.0421531253841412,0.006822228402344731,0.00026937656714257,0.00026089441407545,7.190528747951821e-05,0.021434573029362518,0.0213789906911027,0.0031886916743410466,8.871060496168991e-05,8.935543293818647e-05,2.202905040187092e-05,0.19005179763186955,0.19071317740518934,0.06441450280608044,149728.0,149728.0,0.0,0.5723173084988957,0.5868034999984957,0.09098819297893843
final_pareto,0.046653673782340026,0.04784905830081835,0.0063068602116707,0.00027013094263511,0.00026123680930895,7.173099492321369e-05,0.0246814443345994,0.02510037449156855,0.003311233624112153,9.132541793145761e-05,9.249696114006306e-05,2.216681592070041e-05,0.1927472086223906,0.19294447990540145,0.064617143180692,120704.0,120704.0,0.0,0.48279297499975654,0.4803922294995573,0.053146469894552385
hybrid,0.04922312769544615,0.04880316336965195,0.007293815714800537,0.00056158360879389,0.00055800007381065,0.0001304481725506517,0.02503563810514776,0.02530886506072815,0.003515540415526664,0.00019178902850649002,0.0001885191402093,4.0082027837962384e-05,0.36666840912366183,0.38013102528912684,0.07058095901956399,188708.0,188708.0,0.0,0.7974805540980014,0.7512609374971362,0.18799476913046262
original_tbmd,0.35366137759704636,0.33015508329021626,0.058512736423502625,0.00417622896368096,0.004177959574672201,1.5503984367425202e-05,0.16415110352920217,0.15490225410192937,0.037161618670967754,0.00185713429209928,0.0018567019344753002,1.370440263568951e-05,2.7856018568035616,2.9225871801387076,0.49927992753918604,101860.0,101860.0,0.0,11.157417608499236,11.336275500503689,0.8873722476015931
property_decoupled,0.04242551188767909,0.0421531253841412,0.006822228402344731,0.00026937656714257,0.00026089441407545,7.190528747951821e-05,0.021434573029362518,0.0213789906911027,0.0031886916743410466,8.871060496168991e-05,8.935543293818647e-05,2.202905040187092e-05,0.19005179763186955,0.19071317740518934,0.06441450280608044,149728.0,149728.0,0.0,0.5155949875006627,0.5220237704997999,0.0740665813749719
rank_optimized_joint,0.02605919753257479,0.023687702071686002,0.006459435611200619,0.00043239321281682996,0.00044834013434655003,6.540235540729312e-05,0.014705844176095512,0.0134573646902589,0.003753152050115296,0.00018306197724527,0.00019030533513869998,2.0598361099752284e-05,0.28299447016120427,0.2949310224991185,0.0679495043998591,259188.0,259188.0,0.0,0.8109264581995376,0.8360539585009974,0.11649197289496507
