regime,budget,metric,left,right,left_mean,right_mean,mean_delta,median_delta,left_wins,ties,wilcoxon_p,wilcoxon_p_holm
well_joint,1,rmse_p,final_accuracy,POD-E,1.2534508713526589,1.2000812021169156,0.0533696692357435,0.059950063339380855,4,0,0.556640625,1.0
well_joint,1,rmse_so,final_accuracy,POD-E,0.00342567396791163,0.00353800620413057,-0.00011233223621893999,-0.00012474703410329997,9,0,0.00390625,0.703125
well_joint,1,score,final_accuracy,POD-E,2.764823516892457,2.821862360527489,-0.05703884363503233,-0.040891930691340894,6,0,0.193359375,1.0
well_joint,1,rmse_p,final_pareto,POD-E,1.25345036940933,1.2000812021169156,0.05336916729241422,0.060345977073319956,4,0,0.556640625,1.0
well_joint,1,rmse_so,final_pareto,POD-E,0.00342680427036246,0.00353800620413057,-0.00011120193376810998,-0.00012502174290074993,9,0,0.00390625,0.703125
well_joint,1,score,final_pareto,POD-E,2.7654305569242017,2.821862360527489,-0.05643180360328763,-0.03931106801719575,6,0,0.193359375,1.0
well_joint,1,rmse_p,final_accuracy,rank_optimized_joint,1.2534508713526589,1.2944259082764547,-0.040975036923795595,-0.03784204442283268,6,0,0.556640625,1.0
well_joint,1,rmse_so,final_accuracy,rank_optimized_joint,0.00342567396791163,0.0036610523400917904,-0.00023537837218015996,-0.00024989392689915004,10,0,0.001953125,0.703125
well_joint,1,score,final_accuracy,rank_optimized_joint,2.764823516892457,2.948459590952404,-0.18363607405994728,-0.1503317163263611,10,0,0.001953125,0.703125
well_joint,1,rmse_p,final_accuracy,original_basis_optimized_recovery,1.2534508713526589,1.3431594801190387,-0.08970860876637975,-0.05213565816492316,7,0,0.322265625,1.0
well_joint,1,rmse_so,final_accuracy,original_basis_optimized_recovery,0.00342567396791163,0.00564221381674356,-0.0022165398488319297,-0.00222564333746235,10,0,0.001953125,0.703125
well_joint,1,score,final_accuracy,original_basis_optimized_recovery,2.764823516892457,4.20954569351048,-1.4447221766180225,-1.4299683183431193,10,0,0.001953125,0.703125
well_joint,1,rmse_p,final_accuracy,prior+IDW,1.2534508713526589,1.783104731815681,-0.5296538604630221,-0.1926950110331357,6,0,0.193359375,1.0
well_joint,1,rmse_so,final_accuracy,prior+IDW,0.00342567396791163,0.0008926569125170499,0.0025330170553945802,0.00257740813432635,0,0,0.001953125,0.703125
well_joint,1,score,final_accuracy,prior+IDW,2.764823516892457,1.3881809624945067,1.3766425543979506,1.5481311378191598,0,0,0.001953125,0.703125
well_joint,2,rmse_p,final_accuracy,POD-E,0.8717804644140795,0.6792568069861498,0.1925236574279298,0.20908187432951397,2,0,0.01953125,1.0
