sensors,subject,slice_idx,error_mean,error_std,ssim_mean,ssim_std,psnr_mean,psnr_std,error_ci_lower,error_ci_upper,ssim_ci_lower,ssim_ci_upper,psnr_ci_lower,psnr_ci_upper,num_samples
1,case3,10,0.050895728170871735,0.05400656536221504,0.9977191410165851,0.003645849656713389,33.119529724121094,11.8673734664917,0.018979887579630608,0.08281156876211286,0.995564581553622,0.9998737004795482,26.106360172363853,40.13269927587834,11
2,case3,10,0.05939063802361488,0.05350165814161301,0.9971327367008253,0.004226835766514255,29.916460037231445,9.936341285705566,0.027773178532116402,0.09100809751511336,0.9946348363876939,0.9996306370139566,24.044457579607652,35.78846249485524,11
3,case3,10,0.044842422008514404,0.038385991007089615,0.9981793445355129,0.0023780657714438463,32.80325698852539,10.51527214050293,0.02215775095597924,0.06752709306104956,0.9967739974713579,0.999584691599668,26.58912825882448,39.0173857182263,11
4,case3,10,0.039963942021131516,0.033389754593372345,0.9973412024003676,0.004129876333305868,33.82663345336914,10.458746910095215,0.020231858008095776,0.05969602603416725,0.9949006014506255,0.9997818033501097,27.645909000184915,40.007357906553366,11
5,case3,10,0.03721895068883896,0.02920655347406864,0.997854187601234,0.002522177610519391,34.43232727050781,10.107062339782715,0.01995898056027933,0.054478920817398586,0.9963636758825152,0.9993446993199528,28.459435117141453,40.40521942387417,11
6,case3,10,0.046298883855342865,0.031659457832574844,0.9976625269699806,0.0020440052985663893,31.709657669067383,10.22573471069336,0.02758933988392567,0.06500842782676006,0.9964545970296267,0.9988704569103345,25.66663462611072,37.752680712024045,11
7,case3,10,0.03633279353380203,0.02509496919810772,0.9986997543832691,0.001161134269916721,34.237606048583984,10.991660118103027,0.021502614439886353,0.05116297262771771,0.9980135678795515,0.9993859408869866,27.741950014735977,40.73326208243199,11
8,case3,10,0.028335876762866974,0.015455957502126694,0.9990161915504654,0.0009179851644181828,34.68829345703125,8.23423957824707,0.01920198956758911,0.03746976395814484,0.9984736969856621,0.9995586861152687,29.822168829278336,39.55441808478416,11
9,case3,10,0.024775343015789986,0.013069708831608295,0.9992292462188818,0.0006771094442742189,35.63938903808594,7.990545272827148,0.01705163866899613,0.03249904736258384,0.9988291001081017,0.9996293923296619,30.91727854181151,40.36149953436037,11
10,case3,10,0.0228175837546587,0.016556477174162865,0.9993428523918296,0.0007706785724020244,37.47248458862305,8.997297286987305,0.01303333099392302,0.032601836515394375,0.9988874104599293,0.9997982943237299,32.15542167159485,42.78954750565124,11
