fold,sensing,placement,N,basis,estimator,sigma_p,sigma_so,draw,rmse_p,rmse_so
P2-run1,grid,QR-POD,30,POD,L1,0.5,0.01,6,1.7356242396133417,0.020987854126717897
P2-run1,grid,QR-POD,30,none,IDW,0.5,0.01,7,0.6627531211924631,0.005215296124033676
P2-run1,grid,QR-POD,30,POD,LS,0.5,0.01,7,0.2737359846950427,0.002555605539673367
P2-run1,grid,QR-POD,30,POD,L1,0.5,0.01,7,1.7328354338994467,0.02098705655253522
P2-run1,grid,QR-POD,30,none,IDW,0.5,0.01,8,0.6631782823428916,0.005256710772506163
P2-run1,grid,QR-POD,30,POD,LS,0.5,0.01,8,0.2966665987574655,0.002698781976164792
P2-run1,grid,QR-POD,30,POD,L1,0.5,0.01,8,1.7535328807520698,0.021034618423841505
P2-run1,grid,QR-POD,30,none,IDW,0.5,0.01,9,0.662827946761938,0.004987690988200488
P2-run1,grid,QR-POD,30,POD,LS,0.5,0.01,9,0.2810072656533128,0.0026506202156688593
P2-run1,grid,QR-POD,30,POD,L1,0.5,0.01,9,1.7378438109601857,0.020993725433784693
P2-run1,grid,QR-POD,30,none,IDW,1.0,0.02,0,0.7441066203500943,0.010372570919593779
P2-run1,grid,QR-POD,30,POD,LS,1.0,0.02,0,0.5186325220020725,0.004703212089722293
P2-run1,grid,QR-POD,30,POD,L1,1.0,0.02,0,1.8138394052448374,0.02175058570377773
P2-run1,grid,QR-POD,30,none,IDW,1.0,0.02,1,0.7596037419987415,0.010152662201292207
P2-run1,grid,QR-POD,30,POD,LS,1.0,0.02,1,0.5283512130451116,0.00479542040906059
P2-run1,grid,QR-POD,30,POD,L1,1.0,0.02,1,1.77567281405137,0.021162837135702578
P2-run1,grid,QR-POD,30,none,IDW,1.0,0.02,2,0.7425066407615528,0.010044634072575585
P2-run1,grid,QR-POD,30,POD,LS,1.0,0.02,2,0.5202834928363935,0.005263531945907277
P2-run1,grid,QR-POD,30,POD,L1,1.0,0.02,2,1.773462996903935,0.02108464252145238
P2-run1,grid,QR-POD,30,none,IDW,1.0,0.02,3,0.7370426762257933,0.010724683527098435
P2-run1,grid,QR-POD,30,POD,LS,1.0,0.02,3,0.5007711658348365,0.00524961424911035
P2-run1,grid,QR-POD,30,POD,L1,1.0,0.02,3,1.8072754660309152,0.021299173858442044
P2-run1,grid,QR-POD,30,none,IDW,1.0,0.02,4,0.7462750685921914,0.010060361210525028
P2-run1,grid,QR-POD,30,POD,LS,1.0,0.02,4,0.5101740441903421,0.0046955452944684685
P2-run1,grid,QR-POD,30,POD,L1,1.0,0.02,4,1.8000335725729446,0.021225387740252028
P2-run1,grid,QR-POD,30,none,IDW,1.0,0.02,5,0.7209161218328212,0.009573510091342873
P2-run1,grid,QR-POD,30,POD,LS,1.0,0.02,5,0.5173325568083558,0.004666587832150997
P2-run1,grid,QR-POD,30,POD,L1,1.0,0.02,5,1.8175234935222169,0.02154016690280984
P2-run1,grid,QR-POD,30,none,IDW,1.0,0.02,6,0.733091267175223,0.010132768687063582
P2-run1,grid,QR-POD,30,POD,LS,1.0,0.02,6,0.5320730555002925,0.004818537870698521
P2-run1,grid,QR-POD,30,POD,L1,1.0,0.02,6,1.8027599683598303,0.021361403894161884
P2-run1,grid,QR-POD,30,none,IDW,1.0,0.02,7,0.7462598822441513,0.009928381444258302
P2-run1,grid,QR-POD,30,POD,LS,1.0,0.02,7,0.5089172127519511,0.004972817573470253
P2-run1,grid,QR-POD,30,POD,L1,1.0,0.02,7,1.7703400635817201,0.02107473337990822
