cluster,area_frac,n_sensors,P_C_given_S,density,total_inside,total_selected
0,0.08787878787878788,53,0.17845117845117844,0.12183908045977011,297,300
1,0.2006060606060606,101,0.3400673400673401,0.10171198388721048,297,300
2,0.16666666666666666,38,0.12794612794612795,0.04606060606060606,297,300
3,0.30606060606060603,41,0.13804713804713806,0.02706270627062706,297,300
4,0.2387878787878788,64,0.21548821548821548,0.05414551607445008,297,300
