sensors,subject,slice_idx,error_mean,error_std,ssim_mean,ssim_std,psnr_mean,psnr_std,error_ci_lower,error_ci_upper,ssim_ci_lower,ssim_ci_upper,psnr_ci_lower,psnr_ci_upper,num_samples
1,case3,10,inf,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,11
2,case3,10,0.13171914219856262,0.10819479823112488,0.9969072635732705,0.003964667225809737,29.359607696533203,7.8561601638793945,0.06778010238022947,0.19565818201689578,0.9945642949669983,0.9992502321795428,24.716913724643305,34.0023016684231,11
3,case3,10,0.0850493386387825,0.04528464376926422,0.9987071189878498,0.0009906017711409554,31.625268936157227,5.134740829467773,0.058287824328854536,0.11181085294871046,0.9981217107508125,0.9992925272248872,28.590831017516933,34.65970685479752,11
4,case3,10,0.10349180549383163,0.09013620018959045,0.9977947368010078,0.0031141273597927684,30.8060302734375,5.970540523529053,0.05022471514181561,0.15675889584584765,0.9959544051352303,0.9996350684667854,27.27766629927117,34.334394247603825,11
5,case3,10,0.06881096959114075,0.03151004761457443,0.998995396632949,0.0005569825893205778,33.24892807006836,4.77271032333374,0.05018972141614056,0.08743221776614093,0.9986662409569006,0.9993245523089974,30.428436508606044,36.06941963153068,11
6,case3,10,0.08094155788421631,0.04701854661107063,0.9972351510169191,0.004712136394948818,32.436885833740234,5.179476737976074,0.05315537247497584,0.10872774329345677,0.9944504563595804,1.0000198456742577,29.37601068260646,35.497760984874006,11
7,case3,10,0.06256752461194992,0.0369950570166111,0.9987183138750463,0.000954967493891109,34.82888412475586,5.739619255065918,0.04070484301968341,0.08443020620421643,0.9981539641501483,0.9992826635999442,31.43698589959554,38.22078234991618,11
8,case3,10,0.06590276211500168,0.045854602009058,0.9985360634020815,0.0013223895556998644,34.751216888427734,6.2777204513549805,0.038804424009616256,0.0930011002203871,0.9977545811142119,0.999317545689951,31.04132117745186,38.46111259940361,11
9,case3,10,0.05193495750427246,0.025669390335679054,0.9983998958745791,0.0020641760099386584,36.02997970581055,4.876797676086426,0.03676531721085246,0.06710459779769247,0.9971800458055436,0.9996197459436146,33.147976449691505,38.91198296192959,11
10,case3,10,0.037016768008470535,0.019326530396938324,0.9991765267843055,0.0007375016057965732,39.25277328491211,5.86557149887085,0.025595518403102903,0.04843801761383817,0.9987406911867531,0.9996123623818578,35.78644204020266,42.71910452962156,11
11,case3,10,0.03209735080599785,0.019787738099694252,0.9994615986188475,0.0004777188659913997,40.54720687866211,5.734025478363037,0.020403544865638598,0.0437911567463571,0.9991792848099217,0.9997439124277734,37.1586143642863,43.93579939303792,11
12,case3,10,0.04328754171729088,0.02333965338766575,0.9991505554593725,0.0008006309787952121,37.67091369628906,5.50929069519043,0.02949468797849853,0.057080395456083226,0.9986774127864353,0.9996236981323097,34.41513095174287,40.92669644083526,11
13,case3,10,0.040322307497262955,0.02315870113670826,0.9990204311380899,0.0017540709643495632,38.46590805053711,5.3943891525268555,0.026636389705192116,0.05400822528933379,0.9979838414399961,1.0000570208361839,35.27802777849112,41.6537883225831,11
14,case3,10,0.04864966869354248,0.022382333874702454,0.9986606741046472,0.0012629906019161654,36.5751953125,5.176712512969971,0.035422554634096555,0.061876782752988406,0.9979142943552844,0.99940705385401,33.51595371395491,39.63443691104509,11
15,case3,10,0.04009091109037399,0.027037985622882843,0.9989928885210717,0.001152500601412457,39.081600189208984,6.486917972564697,0.024112482666707884,0.0560693395140401,0.9983118041893929,0.9996739728527505,35.24807664346464,42.915123734953326,11
16,case3,10,0.04743880033493042,0.028876157477498055,0.9987672328990107,0.001544391587298825,37.67012023925781,7.023473739624023,0.030374081763062246,0.06450351890679859,0.9978545557942903,0.9996799100037311,33.51951249801013,41.820727980505495,11
