basis,budget,fold,n_sel,jaccard_mean,jaccard_min,share_pressure,tstd_percentile_mean,dist_to_well_mean,dist_to_well_active_mean
POD,N=r,P2-run1,16,0.6617584762063606,0.45454545454545453,0.875,0.8394191919191919,2.870328598265585,11.649325225008441
POD,N=r,P2-run2,16,0.6617584762063606,0.45454545454545453,0.8125,0.8465782828282828,3.053216703432372,11.649325225008441
POD,N=r,P2-run3,16,0.6617584762063606,0.45454545454545453,0.8125,0.8416919191919192,3.0184213043883474,11.649325225008441
POD,N=r,P2-run4,16,0.6617584762063606,0.45454545454545453,0.8125,0.8453409090909091,2.990716703432372,11.649325225008441
POD,N=r,P2-run5,16,0.6617584762063606,0.45454545454545453,0.8125,0.8421590909090909,2.7930743496718478,11.649325225008441
POD,N=r,P2-run6,16,0.6617584762063606,0.45454545454545453,0.8125,0.8414520202020201,2.909167298276142,11.649325225008441
POD,N=r,P2-run7,16,0.6617584762063606,0.45454545454545453,0.8125,0.8419823232323231,3.0809213043883474,11.649325225008441
POD,N=r,P2-run8,16,0.6617584762063606,0.45454545454545453,0.8125,0.839570707070707,2.995328598265585,11.649325225008441
POD,N=r,P2-run9,16,0.6617584762063606,0.45454545454545453,0.8125,0.8491540404040403,3.053216703432372,11.649325225008441
POD,N=r,P2-run10,16,0.6617584762063606,0.45454545454545453,0.8125,0.8493813131313132,3.053216703432372,11.649325225008441
POD,N=50,P2-run1,50,0.823163292877547,0.7241379310344828,0.76,0.8416,3.802353792799002,11.649325225008441
POD,N=50,P2-run2,50,0.823163292877547,0.7241379310344828,0.76,0.8300404040404039,3.8114901562902186,11.649325225008441
POD,N=50,P2-run3,50,0.823163292877547,0.7241379310344828,0.74,0.8246464646464646,3.796156626902379,11.649325225008441
POD,N=50,P2-run4,50,0.823163292877547,0.7241379310344828,0.76,0.8397858585858584,3.7597195385998443,11.649325225008441
POD,N=50,P2-run5,50,0.823163292877547,0.7241379310344828,0.74,0.8408969696969697,3.7811953449464726,11.649325225008441
POD,N=50,P2-run6,50,0.823163292877547,0.7241379310344828,0.76,0.8250424242424244,3.779719538599844,11.649325225008441
POD,N=50,P2-run7,50,0.823163292877547,0.7241379310344828,0.76,0.836331313131313,4.38193514822761,11.649325225008441
POD,N=50,P2-run8,50,0.823163292877547,0.7241379310344828,0.76,0.8285494949494948,3.8048131455817753,11.649325225008441
POD,N=50,P2-run9,50,0.823163292877547,0.7241379310344828,0.76,0.8290828282828282,3.745916704496468,11.649325225008441
POD,N=50,P2-run10,50,0.823163292877547,0.7241379310344828,0.76,0.8349535353535353,3.8165288743343133,11.649325225008441
POD-E,N=r,P2-run1,16,0.8229560830180025,0.6842105263157895,0.875,0.8328661616161617,2.778993617819804,11.649325225008441
POD-E,N=r,P2-run2,16,0.8229560830180025,0.6842105263157895,0.8125,0.8390782828282828,2.966493617819804,11.649325225008441
POD-E,N=r,P2-run3,16,0.8229560830180025,0.6842105263157895,0.8125,0.8347474747474748,2.903993617819804,11.649325225008441
POD-E,N=r,P2-run4,16,0.8229560830180025,0.6842105263157895,0.8125,0.838030303030303,2.903993617819804,11.649325225008441
POD-E,N=r,P2-run5,16,0.8229560830180025,0.6842105263157895,0.8125,0.838800505050505,2.841493617819804,11.649325225008441
POD-E,N=r,P2-run6,16,0.8229560830180025,0.6842105263157895,0.8125,0.8342045454545455,2.903993617819804,11.649325225008441
POD-E,N=r,P2-run7,16,0.8229560830180025,0.6842105263157895,0.8125,0.8354671717171718,2.903993617819804,11.649325225008441
POD-E,N=r,P2-run8,16,0.8229560830180025,0.6842105263157895,0.8125,0.8330934343434344,2.941840572536303,11.649325225008441
POD-E,N=r,P2-run9,16,0.8229560830180025,0.6842105263157895,0.8125,0.8369065656565657,2.841493617819804,11.649325225008441
