method,grid|10|rmse_p,grid|10|rmse_so,grid|30|rmse_p,grid|30|rmse_so,grid|100|rmse_p,grid|100|rmse_so,wells-joint|5|rmse_p,wells-joint|5|rmse_so,wells-joint|10|rmse_p,wells-joint|10|rmse_so,wells-joint|30|rmse_p,wells-joint|30|rmse_so,wells-pressure|30|rmse_p,wells-pressure|30|rmse_so
No measurements (prior),1.15 ± 0.56,0.839 ± 0.21,1.15 ± 0.56,0.839 ± 0.21,1.15 ± 0.56,0.839 ± 0.21,1.15 ± 0.56,0.839 ± 0.21,1.15 ± 0.56,0.839 ± 0.21,1.15 ± 0.56,0.839 ± 0.21,1.15 ± 0.56,0.839 ± 0.21
Prior + IDW residual,0.654 ± 0.35,2.24 ± 1.5,0.529 ± 0.27,2.34 ± 0.9,0.496 ± 0.26,2.04 ± 0.7,0.523 ± 0.21,2.34 ± 0.87,0.58 ± 0.24,1.64 ± 0.53,0.313 ± 0.16,0.78 ± 0.2,0.313 ± 0.16,0.839 ± 0.21
"POD, LS",29 ± 1,260 ± 3.5,0.124 ± 0.04,0.833 ± 0.19,0.0906 ± 0.022,0.72 ± 0.12,29 ± 1.1,13.5 ± 5.1,0.701 ± 0.3,0.861 ± 0.32,0.179 ± 0.087,0.745 ± 0.19,0.227 ± 0.094,44 ± 25
"POD, l1",30.5 ± 1.4,262 ± 5.9,2.01 ± 0.27,18.2 ± 3.4,0.782 ± 0.13,5.1 ± 1.8,23.5 ± 1.5,58.4 ± 6.5,10.7 ± 2.9,22.6 ± 2.2,1.04 ± 0.24,6.36 ± 1.5,5.04 ± 0.7,63.6 ± 8.7
"POD-E, LS",0.316 ± 0.18,1.16 ± 0.35,0.121 ± 0.039,0.804 ± 0.18,0.0907 ± 0.022,0.719 ± 0.12,0.432 ± 0.086,0.737 ± 0.14,0.779 ± 0.45,0.822 ± 0.19,0.179 ± 0.087,0.745 ± 0.19,0.227 ± 0.094,44 ± 25
"POD-E, l1",0.401 ± 0.18,2.09 ± 0.45,0.187 ± 0.035,1.32 ± 0.18,0.111 ± 0.016,0.797 ± 0.14,0.425 ± 0.11,2.1 ± 0.32,0.351 ± 0.097,1.08 ± 0.2,0.19 ± 0.033,0.869 ± 0.12,0.214 ± 0.078,13.3 ± 4
"TBMD (48,48,2), LS",0.543 ± 0.076,6.57 ± 0.3,0.424 ± 0.056,4.73 ± 0.29,0.377 ± 0.059,4.56 ± 0.083,0.824 ± 0.28,4.41 ± 0.11,1.27 ± 0.38,4.51 ± 0.18,0.432 ± 0.05,4.24 ± 0.032,0.478 ± 0.049,96.4 ± 59
"TBMD (48,48,2), l1 [original]",0.587 ± 0.12,6.71 ± 0.6,0.453 ± 0.068,4.68 ± 0.27,0.383 ± 0.057,4.58 ± 0.081,0.701 ± 0.2,4.67 ± 0.12,0.636 ± 0.13,4.35 ± 0.063,0.432 ± 0.06,4.25 ± 0.024,0.43 ± 0.065,15.5 ± 6.5
"Random placement, POD-E LS (median of 20)",0.452 ± 0.12,2.25 ± 0.58,0.592 ± 0.13,2.58 ± 0.7,0.155 ± 0.034,0.847 ± 0.13,0.468 ± 0.11,0.91 ± 0.24,0.845 ± 0.27,1.7 ± 0.44,0.179 ± 0.087,0.745 ± 0.19,0.227 ± 0.094,44 ± 25
"Configured well order, POD-E LS",,,,,,,0.496 ± 0.13,1.76 ± 0.65,2.5 ± 1.5,2.79 ± 1.5,0.179 ± 0.087,0.745 ± 0.19,0.227 ± 0.094,44 ± 25
"Configured well order, TBMD l1",,,,,,,0.585 ± 0.14,6.64 ± 0.31,0.471 ± 0.07,4.69 ± 0.098,0.432 ± 0.06,4.25 ± 0.024,0.43 ± 0.065,15.5 ± 6.5
