protocol,basis,r,R1,rmse_p_mean,rmse_p_std,rmse_so_mean,rmse_so_std,relerr_mean,relerr_std,seconds_mean,seconds_std
P1,POD,2,0,0.19311033623570717,0.05210450084286164,0.0059122836312299,0.0003532315670297573,0.01376112778757638,0.0012744416489950182,0.050335137403453654,0.009244410585370044
P1,POD,5,0,0.05149399505166406,0.021102838110856146,0.0009246596285879399,0.00021953390502570317,0.00263342046677222,0.0007513984098806784,0.07200417080020995,0.02373748475362542
P1,POD,7,0,0.014005302058827501,0.004568242453367906,0.00068099121166912,6.380017161565726e-05,0.00144157970927346,0.00015855161456954182,0.07693574980366971,0.03241754903594437
P1,POD,8,0,0.01457413390811756,0.0026674102042562693,0.00069380036543672,3.764269310136441e-05,0.00149343823611606,0.00011279399783261325,0.05593623360618945,0.009247305018650308
P1,POD,10,0,0.01401336746936592,0.0037169747797512896,0.0003761767308899,0.00010492681177715825,0.00091118958988071,0.00016448518765378798,0.05047432499995917,0.008255846484929169
P1,POD,16,0,0.0034723842695686498,0.000959676479567969,9.354277753823411e-05,1.9960338481208436e-05,0.00022521512803858998,4.71971475714714e-05,0.04933937080204484,0.0053238607264126814
P1,POD,20,0,0.00225518954001667,0.0003873405543037563,5.353107194943079e-05,5.664004080793238e-06,0.00013440716040982,1.1880171681832999e-05,0.0546655333018861,0.0062784433006550806
P1,POD,30,0,0.00133613970788747,0.00028542362160563695,2.899952685599277e-05,3.4374831889634137e-06,7.540603324898304e-05,9.417701634169098e-06,0.05303628340188876,0.006649689684044686
P1,POD,50,0,0.0009555789441000299,0.000147920347521309,2.2009792521468114e-05,2.8848031225776303e-06,5.599616182780557e-05,6.3478579539148854e-06,0.053463183104759025,0.004477732021688167
P1,TBMD,2,48,0.3446563952400005,0.04258765089487893,0.00722545900270061,0.0003461370802214729,0.01901127959475925,0.0009728866067044157,0.9042618167004548,0.12645408687084506
P1,TBMD,5,48,0.2904963320757227,0.03034178724730787,0.00451523088611571,0.00015584562742080677,0.013784605033628461,0.00041005583808019995,0.8040111834037816,0.03945062126727043
P1,TBMD,7,48,0.2919620079470748,0.04108130016693732,0.00452341061126852,0.00016242457060817547,0.013602783503235818,0.0003431677449214548,0.8153918750060256,0.05084694583268492
P1,TBMD,8,48,0.2811649130479238,0.014544176069002211,0.0044408631809426,0.00014563271972270825,0.013667629253915839,0.0005157219479473332,0.8622891669918318,0.04315976093577137
P1,TBMD,10,48,0.2865809344369898,0.02971806375833829,0.004448440442219701,0.00015429600623614886,0.013591313264304992,0.00041279349894882833,0.8427000832074555,0.09034819499619016
P1,TBMD,16,48,0.2862736374602661,0.029601522713460723,0.004434138928914351,0.00015208777109220313,0.01356457462338563,0.00041256562345753315,0.821302712400211,0.07716710075182227
P1,TBMD,20,48,0.28626155048072566,0.029597842657206785,0.00443363446666038,0.00015219916950812883,0.013563590120832799,0.0004125095196099737,0.8841073832008988,0.07389759088048778
P1,TBMD,30,48,0.28625346166403565,0.02959541752029663,0.00443344860392129,0.00015217866973354149,0.013563129872804442,0.0004124908914521226,0.9091466665006009,0.07338881242878668
P1,TBMD,50,48,0.2862475450896624,0.0295951169833614,0.00443342382235065,0.00015218373066815425,0.01356293584673919,0.0004125010196696033,1.0131402334023734,0.06906708962926292
P1,TBMD-R1sweep,7,12,2.110677876053648,0.27248597702138483,0.01911766469053726,0.00023315133483020216,0.08325037941972016,0.0006076544901624631,0.7965135000122245,0.1061157435331999
P1,TBMD-R1sweep,7,24,1.2196275877567744,0.16051516370241647,0.012291131166710639,0.0003164196295567705,0.04926402611852436,0.00028052156873733765,4.016276500205277,0.07830492306606833
P1,TBMD-R1sweep,7,48,0.2919620079470748,0.04108130016693732,0.00452341061126852,0.00016242457060817547,0.013602783503235818,0.0003431677449214548,0.7875247998104896,0.08802030882267468
P1,TBMD-R1sweep,7,96,0.014298261027843439,0.004517786293378489,0.00069607055296148,6.279817024740019e-05,0.0014728402437905,0.00015641460132079354,1.0906189251982141,0.11225459192958924
P1,TBMD-R1sweep,7,139,0.014005302058828282,0.004568242453367445,0.00068099121166908,6.380017161569422e-05,0.00144157970927342,0.00015855161456961283,1.3451813499967102,0.2892730612353843
P1,TBMD-R1sweep,8,12,2.0067008410134144,0.056993826459417585,0.019051583968930457,0.0001967726540087228,0.08333517334389168,0.00019608379708170625,0.8442721333936788,0.10862971740168054
P1,TBMD-R1sweep,8,24,1.1537080701208533,0.03457910729064995,0.01233562191320404,0.00033632344678522413,0.04923427427240969,0.00016506100961961412,4.03913565860712,0.03000529830388931
P1,TBMD-R1sweep,8,48,0.2811649130479238,0.014544176069002211,0.0044408631809426,0.00014563271972270825,0.013667629253915839,0.0005157219479473332,0.7633726084022783,0.14203768679101111
P1,TBMD-R1sweep,8,96,0.014880388992732679,0.0026862544121943584,0.0007072650628522201,3.8617804842751717e-05,0.00152263632060688,0.00011527808957648627,1.1060197502025404,0.08757600850327509
P1,TBMD-R1sweep,8,139,0.014574133908117858,0.0026674102042569883,0.00069380036543672,3.764269310132478e-05,0.0014934382361160201,0.0001127939978325388,1.401972341601504,0.3242557117001012
P1,prior,0,0,0.19070250623363366,0.02590057906208843,0.00136450267123718,6.733857283399607e-05,0.007435033226597121,0.0009235640898163659,,
P2,POD,2,0,0.5563499842799027,0.18245205673461076,0.005988945769857449,0.001202743819592054,0.020660681212271763,0.005917592339994082,3.063167166899075,0.7495512764492565
P2,POD,5,0,0.18140768448796724,0.03858290257784317,0.00082822775742245,0.00018993557845294507,0.00562373704265302,0.001249883539873985,3.232365691801533,0.4020010959859115
P2,POD,10,0,0.09201842009572744,0.02161129013859521,0.00071359448845411,0.00014903983133359613,0.00306077323299301,0.0006859150848021193,2.878085179300979,0.412730223040377
P2,POD,16,0,0.0563827652291057,0.008749022306684853,0.00057583248820737,0.00012464349656861247,0.0020049600069593503,0.000312271795986472,3.7381494250003016,0.7448890787094085
P2,POD,20,0,0.03993066278656599,0.007205563104882984,0.0005119932823946999,0.00011274989256847379,0.00154061563617482,0.0002368554792862831,4.067956645903178,1.1458267198737482
P2,POD,30,0,0.01605099648656976,0.004931372859407954,0.00038055411357343003,7.49274324055127e-05,0.0008661688163826601,0.0001736053650147115,4.363579629198648,1.3788702421551446
P2,POD,50,0,0.005243310647370309,0.0007596394067594644,0.00022821816173915002,5.083236118130025e-05,0.00045839663955352,9.181640138958863e-05,4.21135179590492,1.6278064371485128
P2,TBMD,2,48,0.6598756533200981,0.17033888394082197,0.00742273067202516,0.0009302313707006679,0.02461299503212969,0.005462814089450506,21.139409291700577,2.62791881598382
P2,TBMD,5,48,0.39631607402758207,0.06569061194835835,0.00422016675109004,3.3368001254119106e-05,0.01420166240622825,0.0019253662760730574,23.29430935839482,3.366149042706563
P2,TBMD,10,48,0.36119847838774044,0.059673826465304926,0.0042023601636996,2.4530649666716556e-05,0.013320143656276939,0.001708183642497965,23.903101153997703,2.1673644852063743
P2,TBMD,16,48,0.35366137759704636,0.058512736423502625,0.00417622896368096,1.5503984367425202e-05,0.013114862121260751,0.0016655224385806813,33.712889808099135,16.04516271884474
