fold,basis,sensing,N,epsilon,admm_iter,rmse_p,rmse_so
P2-run2,POD-E,wells-joint,10,0.01,230,0.290371414264284,0.0009242123723525416
P2-run2,POD-E,wells-joint,10,0.1,130,0.626058374388111,0.00311174185485297
P2-run2,POD-E,wells-joint,10,0.0,0,1.6478627043319443,0.0009875045625213998
P2-run2,POD-E,wells-joint,30,0.0001,400,0.18645009644657756,0.0005775188667857384
P2-run2,POD-E,wells-joint,30,0.001,400,0.13381498541520864,0.0005773228988481011
P2-run2,POD-E,wells-joint,30,0.01,230,0.17418172500637913,0.0008073811503853865
P2-run2,POD-E,wells-joint,30,0.1,250,0.37120010277064125,0.0023841899764977517
P2-run2,POD-E,wells-joint,30,0.0,0,0.20167275102951357,0.0005830418430337361
P2-run2,TBMD,grid,10,0.0001,5000,0.5237312372704274,0.006519837139199351
P2-run2,TBMD,grid,10,0.001,5000,0.4911716621986043,0.006224968446912153
P2-run2,TBMD,grid,10,0.01,230,0.475365927581078,0.00700267397834321
P2-run2,TBMD,grid,10,0.1,100,0.8641033563695097,0.007154730874381062
P2-run2,TBMD,grid,10,0.0,0,0.5448822117809139,0.00651386982792671
P2-run2,TBMD,grid,30,0.0001,550,0.39215134196636514,0.004563352125165998
P2-run2,TBMD,grid,30,0.001,510,0.3906679186131721,0.004568678034744089
P2-run2,TBMD,grid,30,0.01,350,0.4077966972193802,0.004639453135669861
P2-run2,TBMD,grid,30,0.1,1370,0.6121050826929504,0.005519744415797562
P2-run2,TBMD,grid,30,0.0,0,0.3926230570374664,0.004562766033832058
P2-run2,TBMD,grid,100,0.0001,180,0.38459100205804936,0.004584162252549191
P2-run2,TBMD,grid,100,0.001,180,0.3837522082511688,0.004581362413255369
P2-run2,TBMD,grid,100,0.01,140,0.3890020180852715,0.004633815523613749
P2-run2,TBMD,grid,100,0.1,510,0.459127733468857,0.004949045699123687
P2-run2,TBMD,grid,100,0.0,0,0.38471773903369194,0.004584647620283821
