protocol,fold,test_run,rank,sensing,placement,seed,N,basis,estimator,rmse_p,rmse_so,relerr,maxabs_p,noise_sd_bar,m,cond,sec_per_snapshot,admm_iter
P1,P1-run1,1,7,none,persistence,-1,0,none,prior,0.19334935125885155,0.0013192516446759335,0.008150410809680977,0.24747315478418946,0.0,,,,
P1,P1-run1,1,7,full,oracle-projection,-1,9900,POD,projection,0.018385948514917535,0.0006620815078825038,0.0015436180812415674,0.11279810879908589,0.0,,,,
P1,P1-run1,1,7,full,oracle-projection,-1,9900,POD-E,projection,0.01838594851491759,0.000662081507882504,0.0015436180812415685,0.11279810879909641,0.0,,,,
P1,P1-run1,1,7,full,oracle-projection,-1,9900,TBMD,projection,0.2507580944503666,0.004311691363437995,0.013305021326798474,4.34660861574611,0.0,,,,
P1,P1-run1,1,7,grid,QR-POD,-1,2,none,IDW,0.09199027825415691,0.0013192516446759335,0.004551492414772408,0.1455613399055635,0.0,2.0,,,
P1,P1-run1,1,7,grid,QR-POD,-1,2,POD,LS,21.032745880410662,0.26443387491602127,0.9948390868976703,24.249555562907343,0.0,2.0,1.627594024588813,2.6851851510366907e-06,
P1,P1-run1,1,7,grid,QR-POD,-1,2,POD,L1,21.56330076510335,0.25882967902364157,1.0064554617976311,27.7267402165553,0.0,2.0,,0.005456992259024884,5000.0
P1,P1-run1,1,7,grid,QR-POD,-1,5,none,IDW,0.08181664079540056,0.005025114638382122,0.010820231882049251,0.17325288095434466,0.0,5.0,,,
P1,P1-run1,1,7,grid,QR-POD,-1,5,POD,LS,19.90421480318702,0.23078855769971568,0.9203530690175166,37.08048568639936,0.0,5.0,3.445625592732768,2.1034082035637566e-06,
P1,P1-run1,1,7,grid,QR-POD,-1,5,POD,L1,22.484408217020952,0.25726205883667547,1.0360490101567355,35.02457832326094,0.0,5.0,,0.005127233037017976,5000.0
P1,P1-run1,1,7,grid,QR-POD,-1,10,none,IDW,0.08062346166242816,0.002301726021360775,0.005711796854308808,0.173382351736152,0.0,10.0,,,
P1,P1-run1,1,7,grid,QR-POD,-1,10,POD,LS,0.024003206855585484,0.001058016960489875,0.002376982112155818,0.0822165406605193,0.0,10.0,6.0571089825489075,2.895037781585146e-06,
P1,P1-run1,1,7,grid,QR-POD,-1,10,POD,L1,2.7222791613621324,0.039116899744228384,0.1344881888244412,3.096316684658135,0.0,10.0,,0.004721229926131114,5000.0
P1,P1-run1,1,7,grid,QR-POD,-1,16,none,IDW,0.0785775888907985,0.003036985391270289,0.006976001481354884,0.17295303097142567,0.0,16.0,,,
P1,P1-run1,1,7,grid,QR-POD,-1,16,POD,LS,0.024966916405528106,0.0010044283625505524,0.0022918040405123232,0.08097596034378672,0.0,16.0,6.195577842933955,4.964518464273877e-06,
P1,P1-run1,1,7,grid,QR-POD,-1,16,POD,L1,2.099554571748455,0.03003187479197558,0.10356337279363395,2.399209975233552,0.0,16.0,,0.005285453703470045,5000.0
P1,P1-run1,1,7,grid,QR-POD,-1,20,none,IDW,0.06546204735482966,0.0030774272367977465,0.006834975567987866,0.171942442200416,0.0,20.0,,,
P1,P1-run1,1,7,grid,QR-POD,-1,20,POD,LS,0.026520398686872098,0.0009689087171182288,0.00225508628159313,0.08025384098423231,0.0,20.0,6.011545888764857,2.3703711728254953e-06,
P1,P1-run1,1,7,grid,QR-POD,-1,20,POD,L1,1.6053062463010659,0.022144342947557915,0.07820388880357308,1.8456373446687597,0.0,20.0,,0.004571598777719946,5000.0
P1,P1-run1,1,7,grid,QR-POD,-1,30,none,IDW,0.07291518716176805,0.00279315050256363,0.006427456953150874,0.17187394304591164,0.0,30.0,,,
P1,P1-run1,1,7,grid,QR-POD,-1,30,POD,LS,0.024115281414755604,0.0009752261506654097,0.0022240781513646227,0.07300996982770921,0.0,30.0,5.735229251456299,2.947518455416516e-06,
P1,P1-run1,1,7,grid,QR-POD,-1,30,POD,L1,1.215484147057167,0.013704076832003764,0.05580535161587871,1.4113033039559373,0.0,30.0,,0.004417330259457231,3770.0
P1,P1-run1,1,7,grid,QR-POD,-1,50,none,IDW,0.07056786452226461,0.002781584789769978,0.006364497486627386,0.1704834808689405,0.0,50.0,,,
P1,P1-run1,1,7,grid,QR-POD,-1,50,POD,LS,0.022784938581815562,0.001005365718744873,0.0022574112516770416,0.07285970752948435,0.0,50.0,5.48703331510559,2.2515553239457034e-06,
P1,P1-run1,1,7,grid,QR-POD,-1,50,POD,L1,0.9238277829906757,0.0077149829950014185,0.03992124205060615,1.0790843136603199,0.0,50.0,,0.002801265408009015,2450.0
P1,P1-run1,1,7,grid,QR-POD,-1,75,none,IDW,0.06899087950459173,0.003086536229325935,0.006906806702740402,0.1696323579312017,0.0,75.0,,,
P1,P1-run1,1,7,grid,QR-POD,-1,75,POD,LS,0.025975084521752952,0.0008984250753887789,0.0021170002748683303,0.06929816381974176,0.0,75.0,5.11257716478247,6.200629286468029e-06,
P1,P1-run1,1,7,grid,QR-POD,-1,75,POD,L1,0.7587871203367598,0.0046048987831003195,0.031551609981613445,0.901365400561315,0.0,75.0,,0.002692299370041669,2400.0
P1,P1-run1,1,7,grid,QR-POD,-1,100,none,IDW,0.07051820674185463,0.0031693680276279365,0.007087060246201966,0.16922345572969857,0.0,100.0,,,
