protocol,fold,model,estimator,wells,channels,joint_rank,rank_pressure,rank_so,coefficients,rmse_p,rmse_so,admm_iterations
P1,P1-run5,independent-per-property,L1,10,20,8,8,8,16,0.14053272088655988,0.006030324729760559,220
P1,P1-run5,joint-4D,LS,30,60,8,8,8,8,0.35145302933163414,0.004462661395401488,0
P1,P1-run5,joint-4D,L1,30,60,8,8,8,8,0.39379568790311226,0.004734737701112778,150
P1,P1-run5,independent-equal-total,LS,30,60,8,4,4,8,0.10548729481164223,0.00024334288813840629,0
P1,P1-run5,independent-equal-total,L1,30,60,8,4,4,8,0.13120092366444971,0.0017585988813517393,60
P1,P1-run5,independent-per-property,LS,30,60,8,8,8,16,0.09801423553515809,0.0001396270694412235,0
P1,P1-run5,independent-per-property,L1,30,60,8,8,8,16,0.13100341017477643,0.0017583621787115985,60
P1,P1-run6,joint-4D,LS,10,20,7,7,7,7,0.8081133054874695,0.004734287601278331,0
P1,P1-run6,joint-4D,L1,10,20,7,7,7,7,0.2818356634657796,0.006296171757464156,30
P1,P1-run6,independent-equal-total,LS,10,20,7,3,4,7,0.10948073251983693,0.00020359917930007004,0
P1,P1-run6,independent-equal-total,L1,10,20,7,3,4,7,0.1165848286535333,0.005776749384565272,20
P1,P1-run6,independent-per-property,LS,10,20,7,7,7,14,0.1954476176054895,0.009489591288435958,0
P1,P1-run6,independent-per-property,L1,10,20,7,7,7,14,0.1176698139096758,0.005776746942542752,20
P1,P1-run6,joint-4D,LS,30,60,7,7,7,7,0.31448539191998637,0.0044824887166178716,0
P1,P1-run6,joint-4D,L1,30,60,7,7,7,7,0.3071771130560083,0.005170960342674534,160
P1,P1-run6,independent-equal-total,LS,30,60,7,3,4,7,0.11415933182895709,0.00025010847257982724,0
P1,P1-run6,independent-equal-total,L1,30,60,7,3,4,7,0.10011505033384945,0.0016760651402423872,70
P1,P1-run6,independent-per-property,LS,30,60,7,7,7,14,0.11613298884528793,0.00011753769061234158,0
P1,P1-run6,independent-per-property,L1,30,60,7,7,7,14,0.10049056966776904,0.001676069725463691,70
P1,P1-run7,joint-4D,LS,10,20,8,8,8,8,0.37999316412329137,0.004891658734496076,0
P1,P1-run7,joint-4D,L1,10,20,8,8,8,8,0.2900320090771904,0.006629331243118334,50
P1,P1-run7,independent-equal-total,LS,10,20,8,4,4,8,0.0925769547991339,0.0003077715986658524,0
P1,P1-run7,independent-equal-total,L1,10,20,8,4,4,8,0.12588466783721994,0.005718592656779855,230
P1,P1-run7,independent-per-property,LS,10,20,8,8,8,16,0.18395279560561117,0.0062176972076665804,0
P1,P1-run7,independent-per-property,L1,10,20,8,8,8,16,0.12603349267198338,0.005718196827598843,230
P1,P1-run7,joint-4D,LS,30,60,8,8,8,8,0.3145417357857135,0.004459125495448695,0
P1,P1-run7,joint-4D,L1,30,60,8,8,8,8,0.2853047230138625,0.004729013372030767,120
P1,P1-run7,independent-equal-total,LS,30,60,8,4,4,8,0.0931398427966539,0.0003739800293257472,0
P1,P1-run7,independent-equal-total,L1,30,60,8,4,4,8,0.10436117234845481,0.0016144768481061603,70
P1,P1-run7,independent-per-property,LS,30,60,8,8,8,16,0.06920519327139282,0.00031046130153251813,0
P1,P1-run7,independent-per-property,L1,30,60,8,8,8,16,0.1042950567785449,0.0016142716000972263,70
P1,P1-run8,joint-4D,LS,10,20,7,7,7,7,0.3707091444908738,0.004967930440506413,0
P1,P1-run8,joint-4D,L1,10,20,7,7,7,7,0.3667890098332314,0.006885128951049111,20
P1,P1-run8,independent-equal-total,LS,10,20,7,3,4,7,0.15864790146667523,0.00026037857415670023,0
P1,P1-run8,independent-equal-total,L1,10,20,7,3,4,7,0.15765189060797993,0.005339863446718142,210
P1,P1-run8,independent-per-property,LS,10,20,7,7,7,14,0.2540893080833448,0.0007256018197922104,0
P1,P1-run8,independent-per-property,L1,10,20,7,7,7,14,0.15806581034642483,0.00533967646093292,210
P1,P1-run8,joint-4D,LS,30,60,7,7,7,7,0.3777505701670168,0.004676561928188463,0
P1,P1-run8,joint-4D,L1,30,60,7,7,7,7,0.35075371062952254,0.0054214553052250305,180
P1,P1-run8,independent-equal-total,LS,30,60,7,3,4,7,0.14958736501304631,0.0004115393398236846,0
P1,P1-run8,independent-equal-total,L1,30,60,7,3,4,7,0.15163921780254538,0.0017735469507411583,60
P1,P1-run8,independent-per-property,LS,30,60,7,7,7,14,0.09932664743020085,0.0002056562492319837,0
P1,P1-run8,independent-per-property,L1,30,60,7,7,7,14,0.15182455377498638,0.0017736297276463805,60
P1,P1-run9,joint-4D,LS,10,20,7,7,7,7,0.4097218915904428,0.005295427931792029,0
P1,P1-run9,joint-4D,L1,10,20,7,7,7,7,0.3446902917229165,0.006867831562809638,30
P1,P1-run9,independent-equal-total,LS,10,20,7,3,4,7,0.1667739827868489,0.0004428918741099607,0
P1,P1-run9,independent-equal-total,L1,10,20,7,3,4,7,0.13538848466686715,0.004628442693788512,190
P1,P1-run9,independent-per-property,LS,10,20,7,7,7,14,0.34365495816025027,0.0020225748892897973,0
P1,P1-run9,independent-per-property,L1,10,20,7,7,7,14,0.1358709214424257,0.0046282573918803764,190
P1,P1-run9,joint-4D,LS,30,60,7,7,7,7,0.38127897741174777,0.004855616399285206,0
P1,P1-run9,joint-4D,L1,30,60,7,7,7,7,0.3498096205940325,0.005019077563767269,140
P1,P1-run9,independent-equal-total,LS,30,60,7,3,4,7,0.13787517753558098,0.0004890602471456765,0
P1,P1-run9,independent-equal-total,L1,30,60,7,3,4,7,0.11689331336869548,0.0016760488501146292,70
P1,P1-run9,independent-per-property,LS,30,60,7,7,7,14,0.11920610643955393,0.0002766193003171609,0
P1,P1-run9,independent-per-property,L1,30,60,7,7,7,14,0.1172449414130247,0.0016761133616701252,70
P1,P1-run10,joint-4D,LS,10,20,8,8,8,8,0.5802221772984245,0.005090861991919199,0
P1,P1-run10,joint-4D,L1,10,20,8,8,8,8,0.28104021938532664,0.006435805717540326,30
P1,P1-run10,independent-equal-total,LS,10,20,8,4,4,8,0.2690776088277696,0.00023771736460438824,0
P1,P1-run10,independent-equal-total,L1,10,20,8,4,4,8,0.10842043642335707,0.005869089240677687,20
P1,P1-run10,independent-per-property,LS,10,20,8,8,8,16,0.6655495828763981,0.00045699961253878107,0
P1,P1-run10,independent-per-property,L1,10,20,8,8,8,16,0.10856069240082479,0.005869088266096915,20
P1,P1-run10,joint-4D,LS,30,60,8,8,8,8,0.28720402325506095,0.004644991052550856,0
P1,P1-run10,joint-4D,L1,30,60,8,8,8,8,0.3251142552693556,0.0049808978795653925,180
P1,P1-run10,independent-equal-total,LS,30,60,8,4,4,8,0.10409853565332249,0.000304404223516494,0
P1,P1-run10,independent-equal-total,L1,30,60,8,4,4,8,0.08183853807788795,0.0016833483062547,70
P1,P1-run10,independent-per-property,LS,30,60,8,8,8,16,0.08392503672864493,0.00012633727888427854,0
P1,P1-run10,independent-per-property,L1,30,60,8,8,8,16,0.08198433065680485,0.001683518031125778,70
P2,P2-run1,joint-4D,LS,10,20,16,16,16,16,22.610492365021834,0.04846936945140457,0
P2,P2-run1,joint-4D,L1,10,20,16,16,16,16,0.40607399568062075,0.004684261391265197,150
P2,P2-run1,independent-equal-total,LS,10,20,16,8,8,16,0.9130263125639694,0.005611976650739003,0
P2,P2-run1,independent-equal-total,L1,10,20,16,8,8,16,0.30694960335948546,0.0017659379547655567,250
P2,P2-run1,independent-per-property,LS,10,20,16,16,16,32,0.3659416218260365,0.002414120495364631,0
P2,P2-run1,independent-per-property,L1,10,20,16,16,16,32,0.3072038165909592,0.0017654442937186743,250
P2,P2-run1,joint-4D,LS,30,60,16,16,16,16,0.42210765035013087,0.004308532809295908,0
P2,P2-run1,joint-4D,L1,30,60,16,16,16,16,0.38170941975489386,0.004266705138406137,200
P2,P2-run1,independent-equal-total,LS,30,60,16,8,8,16,0.2547832583553505,0.0007910989827891701,0
P2,P2-run1,independent-equal-total,L1,30,60,16,8,8,16,0.244757404674121,0.0009472427865223366,170
P2,P2-run1,independent-per-property,LS,30,60,16,16,16,32,0.4275059895140737,0.0009631779609139861,0
