sensors,subject,slice_idx,error_mean,error_std,ssim_mean,ssim_std,psnr_mean,psnr_std,error_ci_lower,error_ci_upper,ssim_ci_lower,ssim_ci_upper,psnr_ci_lower,psnr_ci_upper,num_samples
1,case3,10,0.06772070378065109,0.04346947371959686,0.9967327680638696,0.0029978936065905713,28.394126892089844,10.29322338104248,0.04203188642085561,0.09340952114044657,0.9949611261567102,0.998504409971029,22.311220593641355,34.477033190538336,11
11,case3,10,0.03730999305844307,0.01994028314948082,0.9985528444422527,0.0012068984459974775,32.58478927612305,8.834749221801758,0.02552603875446695,0.04909394736241919,0.9978396130387385,0.9992660758457669,27.36378612705236,37.80579242519373,11
21,case3,10,0.031399697065353394,0.021458541974425316,0.9988137067951677,0.0011048558164931917,34.491737365722656,8.934271812438965,0.018718509132314175,0.04408088499839261,0.9981607787320886,0.9994666348582467,29.211920124018953,39.77155460742636,11
31,case3,10,0.03051154688000679,0.020944692194461823,0.9989247332722186,0.0010751605104081532,35.08265686035156,10.044568061828613,0.018134024761580422,0.04288906899843316,0.9982893540136037,0.9995601125308335,29.14669646518294,41.018617255520184,11
41,case3,10,0.021650688722729683,0.010775623843073845,0.9993966012452428,0.0004171667716804585,37.216651916503906,9.002474784851074,0.015282701968894453,0.028018675476564912,0.9991500714373274,0.9996431310531582,31.896529293764498,42.53677453924331,11
51,case3,10,0.02094261534512043,0.012997347861528397,0.9993384898003032,0.0005095409500688637,37.89895248413086,9.241462707519531,0.013261673598958707,0.028623557091282153,0.9990373703414367,0.9996396092591696,32.43759702438429,43.36030794387743,11
61,case3,10,0.02142203040421009,0.010054808109998703,0.9993877332560672,0.00040073089645148555,37.24476623535156,9.09017562866211,0.015480018527284553,0.027364042281135627,0.9991509164297174,0.999624550082417,31.87281572590954,42.616716744793585,11
71,case3,10,0.01707305945456028,0.009065626189112663,0.9995424959053242,0.0003689196230894058,39.15700149536133,8.488877296447754,0.011715616736791537,0.022430502172329024,0.9993244783401906,0.9997605134704578,34.1403955924504,44.17360739827225,11
81,case3,10,0.015940429642796516,0.00904946681112051,0.9995576253103325,0.00035946506724779804,39.9070930480957,8.450550079345703,0.010592536507168245,0.02128832277842479,0.9993451950306534,0.9997700555900116,34.913137083079015,44.90104901311239,11
91,case3,10,0.01721114106476307,0.010048767551779747,0.9995495399773734,0.00035168002064194827,39.31581115722656,8.607098579406738,0.011272698929625503,0.023149583199900636,0.999341710366239,0.9997573695885078,34.2293409406696,44.402281373783524,11
101,case3,10,0.019347120076417923,0.01217573694884777,0.9994668607217854,0.0004615745096802558,38.56417465209961,9.03649616241455,0.012151719351820316,0.02654252080101553,0.9991940876177537,0.999739633825817,33.22394668002484,43.90440262417438,11
111,case3,10,0.01686982810497284,0.012001835741102695,0.9995496891880206,0.000500420609518563,39.675743103027344,8.566205024719238,0.009777196426838225,0.023962459783107452,0.999253959505993,0.9998454188700481,34.61343943296083,44.738046773093856,11
121,case3,10,0.013523918576538563,0.008841368369758129,0.9996493844967751,0.00034216793006443654,41.288917541503906,8.009181022644043,0.00829900376099532,0.018748833392081804,0.9994471761719514,0.9998515928215987,36.55579402085984,46.02204106214797,11
131,case3,10,0.012892053462564945,0.008259768597781658,0.9996393781789062,0.00032859719067806646,41.651123046875,7.927280426025391,0.008010842148361005,0.017773264776768886,0.999445189648566,0.9998335667092465,36.96639968588703,46.33584640786297,11
141,case3,10,0.012871253304183483,0.008143825456500053,0.9996746942985992,0.00026846056606595473,41.867984771728516,8.344520568847656,0.00805856000792742,0.017683946600439544,0.9995160442423675,0.999833344354831,36.9366882432512,46.799281300205834,11
151,case3,10,0.012968442402780056,0.0074034929275512695,0.999679253737649,0.00024671090872789195,41.46583557128906,8.030721664428711,0.00859325767275048,0.01734362713280963,0.9995334569075364,0.9998250505677616,36.71998234482458,46.211688797753546,11
161,case3,10,0.01355872955173254,0.008150162175297737,0.9996764590884475,0.0002622573599335893,41.16975021362305,8.233646392822266,0.00874229149397087,0.01837516760949421,0.9995214748927783,0.9998314432841167,36.303976136054764,46.03552429119133,11
171,case3,10,0.013943135738372803,0.008975889533758163,0.9996802698113001,0.0002701350404624982,41.151222229003906,8.500880241394043,0.008638723995047198,0.019247547481698407,0.999520630203936,0.9998399094186642,36.12752303891647,46.17492141909134,11
181,case3,10,0.013379481621086597,0.008231029845774174,0.9996847707060564,0.0002360893550563364,41.38727569580078,8.335598945617676,0.008515253824010813,0.018243709418162384,0.9995452508130447,0.9998242905990682,36.4612515097306,46.31329988187096,11
191,case3,10,0.014391858130693436,0.008068177849054337,0.999671043870762,0.00020261705531922385,40.79079818725586,8.585566520690918,0.009623869713634069,0.019159846547752803,0.999551304842826,0.999790782898698,35.71705260424977,45.864543770261946,11
201,case3,10,0.014367890544235706,0.00664856331422925,0.9996810117972376,0.00017229588918265358,40.406375885009766,8.166330337524414,0.010438840706043746,0.018296940382427667,0.9995791914334207,0.9997828321610545,35.58038305395676,45.23236871606277,11
211,case3,10,0.10297060012817383,0.29759153723716736,0.9088264387217951,0.30142367514012613,40.092857360839844,9.342021942138672,-0.07289475994541639,0.27883596020176404,0.730696429866817,1.0869564475767732,34.57207519101541,45.61363953066428,11
221,case3,10,0.012294218875467777,0.005877702031284571,0.9997479065663893,0.00014760241726696654,41.7828369140625,8.08596134185791,0.008820718944206853,0.0157677188067287,0.9996606791119349,0.9998351340208438,37.004339124343204,46.561334703781796,11
231,case3,10,0.012500676326453686,0.00592981418594718,0.9997297025647537,0.00016011874590942947,41.694725036621094,8.18188190460205,0.008996380079783272,0.0160049725731241,0.999635078432746,0.9998243266967614,36.85954181672434,46.52990825651785,11
241,case3,10,0.012801743112504482,0.006097021047025919,0.9997086676740697,0.00017662991272262673,41.42593765258789,8.080897331237793,0.009198633925441372,0.01640485229956759,0.9996042860660136,0.9998130492821259,36.65043250190461,46.20144280327117,11
251,case3,10,0.10075899958610535,0.29828667640686035,,,41.524898529052734,8.870028495788574,-0.07551716148510157,0.27703516065731226,,,36.28304666136448,46.76675039674099,11
261,case3,10,0.1905260980129242,0.4002460241317749,,,40.12116622924805,10.103866577148438,-0.04600418710691173,0.4270563831327601,,,34.15016265091176,46.092169807584334,11
271,case3,10,0.011828785762190819,0.0056891958229243755,0.9997086987797374,0.00020599329062362067,41.999732971191406,7.694592475891113,0.008466685881204014,0.015190885643177623,0.9995869645242388,0.9998304330352361,37.45251940135901,46.5469465410238,11
281,case3,10,0.28053542971611023,0.46211880445480347,,,38.98219680786133,10.40284252166748,0.007440668027870856,0.5536301914043495,,,32.834509737029485,45.12988387869317,11
291,case3,10,,,,,,,,,,,,,11
301,case3,10,0.01278428640216589,0.00594940735027194,0.9997210694571188,0.00017664613136122843,41.380733489990234,7.868831157684326,0.009268411335308098,0.01630016146902368,0.9996166782644597,0.999825460649778,36.73055143927698,46.03091554070349,11
311,case3,10,,,,,,,,,,,,,11
321,case3,10,,,,,,,,,,,,,11
331,case3,10,,,,,,,,,,,,,11
341,case3,10,,,,,,,,,,,,,11
351,case3,10,,,,,,,,,,,,,11
