fold,dev_abs_spatial_mean_bar,dev_spatial_sd_bar,corr_absdev_distance,TBMD_oracle_rmse_near_wells_bar,TBMD_oracle_rmse_far_wells_bar,POD_oracle_rmse_near_wells_bar,POD_oracle_rmse_far_wells_bar
P2-run1,0.17987839391584012,0.675668587573589,-0.3323381435590217,0.2532233056133429,0.13175172759119227,0.10877207997546737,0.009780393895821098
P2-run2,0.3252085926798259,0.36144123079240154,-0.16717473217448708,0.2686523921378765,0.17572682322100058,0.12226816631039568,0.012571746455559233
P2-run3,1.1553712996288121,0.4015893706981977,-0.32365893732286694,0.2496599751374644,0.12944394098252165,0.07798734632047588,0.007636598316203882
P2-run4,0.2906749777728559,0.4246621607698833,-0.3703504688758705,0.2736376791018583,0.12974281243812236,0.13464848443980004,0.011899979085815688
P2-run5,1.8618567893687799,0.35836831827246246,-0.2466833172357963,0.2844486493193096,0.12142408370990457,0.12031509760912451,0.01165288075012983
P2-run6,1.096996759677434,0.5462475280265616,-0.20749929170921724,0.2695438736930516,0.13532990247001458,0.13584861590966968,0.009695536673141738
P2-run7,0.49007958533576423,0.3151342209420521,-0.36183208818538337,0.2417988654868133,0.09310845605501478,0.11907866554547929,0.009945354057938487
P2-run8,1.8558299790573367,0.8970704169281094,-0.24820925975800479,0.29286493291586335,0.10928184254889094,0.10580743501024567,0.009215305085047297
P2-run9,0.6895027899808417,1.0600807363089826,-0.3940035203311169,0.32389348428000064,0.24077398803465924,0.11871748578363572,0.01345756825021426
P2-run10,1.293379818873794,0.3748279690422981,-0.2595808009040406,0.2516812793158526,0.11433572729094497,0.1191778522112927,0.01588679986524565
